Name,Latitude,Longitude,Description,Foursquare URL
Pearl's Social & Billy Club,40.70697472829946,-73.9211278867239,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/pearls-social--billy-club/4e054e43483b98d4170307ea
Heavy Woods,40.70573795980849,-73.92139197180231,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/heavy-woods/50267c72e4b0dfdf252451dc
Left Hand Path,40.70509029141971,-73.92037007537644,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/left-hand-path/532759da498e08214788abac
The Cobra Club,40.70683395473689,-73.92318888900333,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/the-cobra-club/4f99ea03e4b0ad4332b36eba
The Three Diamond Door,40.7032756206918,-73.9264382242339,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/the-three-diamond-door/52327c2c11d20f782080c35f
Old Stanley's,,,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/old-stanleys/5336015c498eea6bc8ff81f5
Boobie Trap,40.7001415582843,-73.91643744632948,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/boobie-trap/53f0f8f9498e0ebf3693787e
Onderdonk & Sons,40.70542418608873,-73.90974318255097,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/onderdonk--sons/547e66b4498e5b3cf7894ab1
Unknown,,,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,
The Well,40.70820503013968,-73.93742585590962,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/the-well/4fcf83db4fc6ada5874dcc46
Duckduck,40.70740075842911,-73.94276444898748,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/duckduck/457430b9f964a520913e1fe3
Kings County Brewers Collective,40.70612147308399,-73.92333815294347,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/kings-county-brewers-collective/56f6cd56cd102dca40d553c9
Montana's Trail House,40.70770591122979,-73.92209236962024,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/montanas-trail-house/53867147498e93278435f2bb
The Johnson's,40.70604601894999,-73.92375723954706,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/the-johnsons/52b3bbeb498e0df85e509236
The Anchored Inn,40.70909331910223,-73.93708716600939,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/the-anchored-inn/4d673f06ae912d4396048f09
Hi Hello,40.70635395367601,-73.92229330295453,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/hi-hello/5514d4ae498eb6274eaabafb
Tortilleria Mexicana Los Hermanos,40.70661160576362,-73.92203496005801,From Foursquare list: A list of Bushwick foodstuffs and bars and 🐓,https://app.foursquare.com/v/tortilleria-mexicana-los-hermanos/4a21c1caf964a520397d1fe3
