Name,Latitude,Longitude,Description,Foursquare URL
Tivoli Brewing Company,39.74549286275844,-105.00549379001306,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/tivoli-brewing-company/540e0954498e77f0f9129eb5
Cerebral Brewing,39.737177538617516,-104.94583556705692,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/cerebral-brewing/54580a0a498e9f3cb6354a86
Black Project Spontaneous & Wild Ales,,,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/black-project-spontaneous--wild-ales/5871977651666a38900acaca
Hop Alley,39.76700747281152,-104.97424419740788,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/hop-alley/566b7bad498ef1f994ff7eff
The Cherry Cricket,39.719766971921764,-104.95626288865569,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/the-cherry-cricket/40e0b100f964a52041031fe3
ChoLon,39.742419012935564,-104.98869573802182,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/cholon/4c46013ddd35be9a9e8fdcd8
Euclid Hall Bar & Kitchen,39.74780604034298,-104.99989044085676,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/euclid-hall-bar--kitchen/4c586dd96201e21eb79d7a70
"Snooze, an A.M. Eatery",39.738831821384075,-104.92330620610122,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/snooze-an-am-eatery/4a96a791f964a5207b2620e3
Denver Bicycle Cafe,39.74312728937506,-104.97051313828172,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/denver-bicycle-cafe/4e44822c7d8bee28239ee2c8
Falling Rock Tap House,39.75370565514917,-104.99530291503716,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/falling-rock-tap-house/40e0b100f964a5206c031fe3
Biker Jim's Gourmet Dogs,,,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/biker-jims-gourmet-dogs/4d5acf0c1d4a8cfaf2c49ced
Steuben's Uptown,39.74306702853902,-104.98089071777976,From Foursquare list: A list of Denver Eats and Beers,https://app.foursquare.com/v/steubens-uptown/49fe57e0f964a520976f1fe3
