Name,Latitude,Longitude,Description,Foursquare URL
Pfeiffer Beach,36.54887151063022,-121.9100393065539,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/pfeiffer-beach/4bc3a47ef8219c749c66b610
Henry Miller Memorial Library,36.39103506616948,-121.87526470357682,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/henry-miller-memorial-library/4bf07128f45ec928a8d7933c
Big Sur Bakery,36.235862943876974,-121.76887243561505,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/big-sur-bakery/4b3a3df8f964a520d66225e3
Nepenthe,36.22196885465503,-121.75917412792593,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/nepenthe/4b94274af964a520866b34e3
Esalen Institute,36.25857163142096,-121.78851129622389,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/esalen-institute/4c76aa676f789c749829544c
Robin's,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/robins/4b11ba47f964a5203d8323e3
Ruddell's Smokehouse,35.4484929879478,-120.90447619172659,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/ruddells-smokehouse/4ad1043cf964a520f8db20e3
Sebastian's General Store,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/sebastians-general-store/4b40ead2f964a52062bd25e3
Victoria's Last Resort,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/victorias-last-resort/4d3fc58a9ccacbff83e64ad0
Sierra Mar,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/sierra-mar/4b2eea8ef964a52040e824e3
McWay Falls,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/mcway-falls/50551c4de4b012cb8270489c
Big Sur Taphouse,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/big-sur-taphouse/4ec09738e3005ff92a16811e
Lilly's Taqueria,34.41429291599987,-119.69457336902335,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/lillys-taqueria/4b44e3d2f964a52068ff25e3
Leadbetter Beach & Park,,,From Foursquare list: Adventures on the PCH,https://app.foursquare.com/v/leadbetter-beach--park/4b12f540f964a5209d9123e3
