Name,Latitude,Longitude,Description,Foursquare URL
De Bijenkorf,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/de-bijenkorf/4a27db76f964a520f4931fe3
Vlaams Friteshuis Vleminckx,52.367936571428125,4.890961860193431,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/vlaams-friteshuis-vleminckx/4a2704cbf964a5203d861fe3
Wynand Fockink,52.372221281639,4.89520365447507,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/wynand-fockink/4a270317f964a52075841fe3
9 Straatjes,52.370480586876624,4.883369640853558,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/9-straatjes/4b064d52f964a52086ea22e3
BeerTemple,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/beertemple/4ab13fe4f964a520b86820e3
De Kaaskamer,52.368956123561745,4.883820130980581,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/de-kaaskamer/4aa4e6dbf964a520484720e3
Bierproeflokaal In de Wildeman,52.37624157052658,4.895013973955684,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/bierproeflokaal-in-de-wildeman/4a26ffccf964a52011811fe3
Café Gollem,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/caf%C3%A9-gollem/4aba5462f964a520ec8020e3
Pancakes Amsterdam,52.370393593143326,4.883205107154658,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/pancakes-amsterdam/4a2707d5f964a520ff8e1fe3
Eetsalon Van Dobben,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/eetsalon-van-dobben/4a2704b3f964a520f1851fe3
Electric Ladyland - Museum of Fluorescent Art,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/electric-ladyland--museum-of-fluorescent-art/4e7ca53aaeb700b85e88b0bf
Stubbe's Haring,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/stubbes-haring/4affc578f964a5200e3a22e3
Frens Haringhandel,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/frens-haringhandel/4b586efef964a520855728e3
Tempo Doeloe,,,From Foursquare list: Amsterdaaamen,https://app.foursquare.com/v/tempo-doeloe/4a27079ff964a520698e1fe3
