Name,Latitude,Longitude,Description,Foursquare URL
Μαργαρώ,,,From Foursquare list: Athena,https://app.foursquare.com/v/%CE%BC%CE%B1%CF%81%CE%B3%CE%B1%CF%81%CF%8E/4c0fdcdf6b7e2d7f1eb52635
Ohh Boy,,,From Foursquare list: Athena,https://app.foursquare.com/v/ohh-boy/58b53123109dfe24946d02be
Θεραπευτήριο,,,From Foursquare list: Athena,https://app.foursquare.com/v/%CE%B8%CE%B5%CF%81%CE%B1%CF%80%CE%B5%CF%85%CF%84%CE%AE%CF%81%CE%B9%CE%BF/4baf3ad8f964a5205bf23be3
Falafellas,37.97851811335335,23.728061147266917,From Foursquare list: Athena,https://app.foursquare.com/v/falafellas/51a0b3d7498e40837d593d93
Tuk Tuk,,,From Foursquare list: Athena,https://app.foursquare.com/v/tuk-tuk/5a6885a7b1538e09f12f6812
Brettos,,,From Foursquare list: Athena,https://app.foursquare.com/v/brettos/4adcdadef964a520d65721e3
Materia Prima,37.96349926839426,23.72468499783104,From Foursquare list: Athena,https://app.foursquare.com/v/materia-prima/581098fb38fab4670fe517fb
Hitchcocktales,,,From Foursquare list: Athena,https://app.foursquare.com/v/hitchcocktales/525848ed498ebb3caa8ab032
Strange Brew,,,From Foursquare list: Athena,https://app.foursquare.com/v/strange-brew/5cc09cc1acb00b002c3760b6
Vintage Wine Bar,,,From Foursquare list: Athena,https://app.foursquare.com/v/vintage-wine-bar/53d153b0498ecb9b012987ac
Παπαδάκης,,,From Foursquare list: Athena,https://app.foursquare.com/v/%CF%80%CE%B1%CF%80%CE%B1%CE%B4%CE%AC%CE%BA%CE%B7%CF%82/4b609267f964a52040ee29e3
Καραμανλίδικα του Φάνη,,,From Foursquare list: Athena,https://app.foursquare.com/v/%CE%BA%CE%B1%CF%81%CE%B1%CE%BC%CE%B1%CE%BD%CE%BB%CE%AF%CE%B4%CE%B9%CE%BA%CE%B1-%CF%84%CE%BF%CF%85-%CF%86%CE%AC%CE%BD%CE%B7/5374e6b9498e90c75ce9c0b4
Vezené,,,From Foursquare list: Athena,https://app.foursquare.com/v/vezen%C3%A9/4de685082271f377c2ac962f
Σχεδία Home,,,From Foursquare list: Athena,https://app.foursquare.com/v/%CF%83%CF%87%CE%B5%CE%B4%CE%AF%CE%B1-home/5cefb8bdf2554e002c34c94c
Opos Palia (Όπως Παλιά),37.967438802756355,23.728944404875186,From Foursquare list: Athena,https://app.foursquare.com/v/%CF%8C%CF%80%CF%89%CF%82-%CF%80%CE%B1%CE%BB%CE%B9%CE%AC/5262b5d111d25185aba8390f
Hill Athens,,,From Foursquare list: Athena,https://app.foursquare.com/v/hill-athens/5ded1969e6d04800080f4d2f
Aiolou 68 (Αιόλου 68),,,From Foursquare list: Athena,https://app.foursquare.com/v/%CE%B1%CE%B9%CF%8C%CE%BB%CE%BF%CF%85-68/56a3ac07498e3eaf7b338ba0
Tastes Of Damascus,,,From Foursquare list: Athena,https://app.foursquare.com/v/tastes-of-damascus/5e5a7caca6badd0008857680
Ovio,,,From Foursquare list: Athena,https://app.foursquare.com/v/ovio/5dd98f213553810008e00c46
Nancy's Sweet Home (Το Σερμπετόσπιτο της Νάνσυ),37.97842519679443,23.724830271481164,From Foursquare list: Athena,https://app.foursquare.com/v/%CF%84%CE%BF-%CF%83%CE%B5%CF%81%CE%BC%CF%80%CE%B5%CF%84%CF%8C%CF%83%CF%80%CE%B9%CF%84%CE%BF-%CF%84%CE%B7%CF%82-%CE%BD%CE%AC%CE%BD%CF%83%CF%85-nancys-sweet-home/530532f7498e40e9d9c590e6
Anadolu,,,From Foursquare list: Athena,https://app.foursquare.com/v/anadolu/56c62c83498e85c69910cd2b
Nolan,,,From Foursquare list: Athena,https://app.foursquare.com/v/nolan/567f0589498ed82c7f0701b4
Zisis (Ζήσης),37.97677681181636,23.729124542760786,From Foursquare list: Athena,https://app.foursquare.com/v/zisis/59721832286fda37b9b46fa9
Geros tou Moria (Γέρος του Μοριά),,,From Foursquare list: Athena,https://app.foursquare.com/v/%CE%B3%CE%AD%CF%81%CE%BF%CF%82-%CF%84%CE%BF%CF%85-%CE%BC%CE%BF%CF%81%CE%B9%CE%AC-geros-tou-moria/4ca87340a6e08cfa6b1a8f94
Μύρτιλλο,,,From Foursquare list: Athena,https://app.foursquare.com/v/%CE%BC%CF%8D%CF%81%CF%84%CE%B9%CE%BB%CE%BB%CE%BF/56d2f5a6cd1043e8e8960754
Falafel Al Sharq,,,From Foursquare list: Athena,https://app.foursquare.com/v/falafel-al-sharq/5d0d1d7da7edf8002f1945d5
Cookoovaya,,,From Foursquare list: Athena,https://app.foursquare.com/v/cookoovaya/547e15f0498ef05487ce4923
Travolta (Τραβόλτα),,,From Foursquare list: Athena,https://app.foursquare.com/v/%CF%84%CF%81%CE%B1%CE%B2%CF%8C%CE%BB%CF%84%CE%B1-travolta/4f48f085e4b0e1322a584359
Peas,,,From Foursquare list: Athena,https://app.foursquare.com/v/peas/5a3aa969cad1b64c06a916f5
Lukumades (LUKUMAΔES),37.97701676673321,23.72772411437376,From Foursquare list: Athena,https://app.foursquare.com/v/lukuma%CE%B4es/5220ec2611d281a9c08d5614
Feyrouz,,,From Foursquare list: Athena,https://app.foursquare.com/v/feyrouz/5335a5fd498e6694ffbf5d0e
Hoocut,37.97694841703415,23.72811344545544,From Foursquare list: Athena,https://app.foursquare.com/v/hoocut/5a5723e72e2680199f704bda
Atlantikos,37.9773243170385,23.72288941226169,From Foursquare list: Athena,https://app.foursquare.com/v/atlantikos/592de02d3b4e0068eccc76cc
