Name,Latitude,Longitude,Description,Foursquare URL
Barley Swine,30.249140574423247,-97.76847228564817,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/barley-swine/4d1bb4017e10a35d5737f982
Lala's Little Nugget,,,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/lalas-little-nugget/40b13b00f964a520bdf31ee3
Three Little Pigs,,,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/three-little-pigs/4d54900b611aa35d362e2b39
The Grackle,30.262587303800007,-97.72433912895808,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/the-grackle/4d3678dfedbd3704d5d46ae3
Rio Rita,30.26390899717864,-97.72869338950362,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/rio-rita/47d130fdf964a520114e1fe3
Shangri-La,30.264941554778247,-97.73168477943007,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/shangrila/49e03d51f964a52048611fe3
Easy Tiger,30.265876756930606,-97.73575306157466,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/easy-tiger/4d6e81901c1041bd009d5d28
Casino El Camino,30.266318030094002,-97.73775811630048,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/casino-el-camino/40b68100f964a5206b001fe3
Curra's Grill,30.236743381067637,-97.74958803985413,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/curras-grill/49bf0d76f964a52001551fe3
The Ginger Man,30.266342508404627,-97.74585848188663,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/the-ginger-man/40b13b00f964a520aaf31ee3
The Carillon,30.28200715131763,-97.74082946160557,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/the-carillon/49cbe074f964a52029591fe3
Arturo's Underground Cafe,30.279850373890223,-97.74199119706682,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/arturos-underground-cafe/49e98757f964a520fd651fe3
Lamberts Downtown Barbecue,30.265382897791717,-97.74759856403524,From Foursquare list: Austin food and drink stuffs,https://app.foursquare.com/v/lamberts-downtown-barbecue/45fbfa6df964a5206c441fe3
