Name,Latitude,Longitude,Description,Foursquare URL
Jamaica Mi Hungry,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/jamaica-mi-hungry/5539138e498e7eb81262b554
Bánh Mì Ba Le,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/b%C3%A1nh-m%C3%AC-ba-le/4b5a441ef964a520adb828e3
Dumpling Cafe,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/dumpling-cafe/4c7c06403badb1f7ea9f5654
Red Lentil,42.37091289677861,-71.15873317239114,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/red-lentil/4ab51beaf964a520847220e3
Townsman,42.352471790165445,-71.05921039621023,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/townsman/54b2c9bf498e0c9369a92f7f
KO Pies at the Shipyard,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/ko-pies-at-the-shipyard/4fef439be4b0099eb0fff8a1
haley.henry,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/haleyhenry/57a50fbc498e6c05045175fa
Myers + Chang,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/myers--chang/49cf760ff964a520a95a1fe3
Harpoon Brewery,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/harpoon-brewery/40b28c80f964a52073f81ee3
B&G Oysters,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/bg-oysters/45016d59f964a520c3381fe3
Gene's Chinese Flatbread Cafe,42.35288658201639,-71.05954699631012,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/genes-chinese-flatbread-cafe/51eff56c498e1fe71b259d44
Publico Street Bistro & Garden,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/publico-street-bistro--garden/587d382d52a05106f2c493a7
Meadhall,42.36385181516156,-71.087303942956,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/meadhall/4db81694f7b15ca52ce24788
Aeronaut Brewing Company,42.38190903935365,-71.10606477672586,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/aeronaut-brewing-company/52a1da9d11d2623b045bd2a0
Bukowski Tavern,42.34729085126483,-71.08540053727106,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/bukowski-tavern/40b28c80f964a520f2f71ee3
Deep Ellum,42.35386411662435,-71.13712006992374,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/deep-ellum/49ce55f6f964a520335a1fe3
Island Creek Oyster Bar,,,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/island-creek-oyster-bar/4cb12fa2c5e6a1cd90fedbf6
Life Alive,42.36670547368832,-71.10572821516458,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/life-alive/4cb77f99035d236ad6f4c54e
Moody's Falafel Palace,42.36564965611013,-71.10424269870694,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/moodys-falafel-palace/436bf600f964a520ac291fe3
The Middle East Downstairs,42.363866826713725,-71.10148635483819,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/the-middle-east-downstairs/49fb9aa9f964a520636e1fe3
Crema Cafe,42.37332755200109,-71.12055406504179,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/crema-cafe/49ce832ef964a5204f5a1fe3
El Pelon Taqueria,42.34321522681575,-71.09922323737095,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/el-pelon-taqueria/4e0a4f951495b0bc65ed25eb
Pho Basil,42.34755321618824,-71.08563266039363,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/pho-basil/4a7a2b7cf964a520c3e81fe3
Formaggio Kitchen,42.38142782029262,-71.13383013348277,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/formaggio-kitchen/4aec7da6f964a520d3c721e3
Toscanini's Ice Cream,42.36356374736687,-71.09940892953843,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/toscaninis-ice-cream/43388b80f964a52031281fe3
Sam LaGrassa's,42.357018002942844,-71.06031885411596,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/sam-lagrassas/4a4b77ddf964a52063ac1fe3
Gourmet Dumpling House,42.3513786314865,-71.06074250477478,From Foursquare list: BAHSTAHN,https://app.foursquare.com/v/gourmet-dumpling-house/4a771079f964a52078e31fe3
