Name,Latitude,Longitude,Description,Foursquare URL
Ruen Mallika (เรือนมัลลิการ์),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B9%80%E0%B8%A3%E0%B8%AD%E0%B8%99%E0%B8%A1%E0%B8%A5%E0%B8%A5%E0%B8%81%E0%B8%B2%E0%B8%A3-ruen-mallika/4d6ce6ef125eb60c14212d4e
Prai Raya (ปราย ระย้า),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%A2-%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B2-prai-raya/550aca37498e7299d87a360c
Lay Lao (เลลาว),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B9%80%E0%B8%A5%E0%B8%A5%E0%B8%B2%E0%B8%A7-lay-lao/5409555d498ea5d6d2b97dee
Khua Kling + Pak Sod (คั่วกลิ้ง+ผักสด),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%84%E0%B8%A7%E0%B8%81%E0%B8%A5%E0%B8%87%E0%B8%9C%E0%B8%81%E0%B8%AA%E0%B8%94-khua-kling--pak-sod/5662c253498e723c49686bb9
Cabbages and Condoms,13.736067869196347,100.55795777379751,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/cabbages-and-condoms/4b0fe2b2f964a520d76523e3
Khun Daeng Somsong (คุณแดง สมทรงโภชนา),13.764567044421543,100.4965185155767,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%84%E0%B8%93%E0%B9%81%E0%B8%94%E0%B8%87-%E0%B8%AA%E0%B8%A1%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%82%E0%B8%A0%E0%B8%8A%E0%B8%99%E0%B8%B2-khun-daeng-somsong/4de1d329fa7651589ef13c81
Teens of Thailand,,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/teens-of-thailand/55e16ae3498e7ef9633d69b7
Hair Of The Dog,,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/hair-of-the-dog/55951a1c498e860a8e4cebdf
Taling Pling (ตะลิงปลิง),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%95%E0%B8%B0%E0%B8%A5%E0%B8%87%E0%B8%9B%E0%B8%A5%E0%B8%87-taling-pling/4b85fc12f964a520937c31e3
Dusit Maha Prasat Throne Hall (พระที่นั่งดุสิตมหาปราสาท),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%99%E0%B8%87%E0%B8%94%E0%B8%AA%E0%B8%95%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%97-dusit-maha-prasat-throne-hall/4e3105c381302aa582e214a7
Wat Pho (วัดพระเชตุพนวิมลมังคลารามฯ),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%A7%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%8A%E0%B8%95%E0%B8%9E%E0%B8%99%E0%B8%A7%E0%B8%A1%E0%B8%A5%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AF-wat-pho/4baada7ef964a520848a3ae3
Wat Arun Rajwararam (วัดอรุณราชวรารามฯ),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/%E0%B8%A7%E0%B8%94%E0%B8%AD%E0%B8%A3%E0%B8%93%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AF-wat-arun-rajwararam/4c1326d5a5eb76b06c92bfb7
Harmonique (ฮาร์โมนิค),,,From Foursquare list: Bangkok - The Hangover 3: Honeymoon Edition,https://app.foursquare.com/v/harmonique-%E0%B8%AE%E0%B8%B2%E0%B8%A3%E0%B9%82%E0%B8%A1%E0%B8%99%E0%B8%84/4b0587fbf964a5207daa22e3
