Name,Latitude,Longitude,Description,Foursquare URL
The Alchemist Brewery,44.47607307271399,-72.71551317627868,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/the-alchemist-brewery/577565ca498e03e651926db7
Dogfish Head Craft Brewery,,,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/dogfish-head-craft-brewery/4b27f6f9f964a520f58c24e3
Toppling Goliath Brewing Co.,,,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/toppling-goliath-brewing-co/4c003a7237850f4748f6973f
3 Floyds Brewery & Pub,41.53527939363041,-87.51646017275813,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/3-floyds-brewery--pub/4acf3441f964a520b8d220e3
Hill Farmstead Brewery,44.60652590900602,-72.26327311626706,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/hill-farmstead-brewery/4c017ddb716bc9b6eef6bb55
Lawson's Finest Liquids,,,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/lawsons-finest-liquids/51d80f6e498e1aa1c491263c
Prohibition Pig,44.337217664393364,-72.75609290527476,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/prohibition-pig/4ef56586a17cdc15b372a283
Mule Bar,44.49063518110665,-73.18616597789854,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/mule-bar/518c1e18498e6b121ed63543
Three Penny Taproom,44.26055048759727,-72.57503009295925,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/three-penny-taproom/4b527e5bf964a520c47f27e3
Tree House Brewing Company,42.092734889651304,-72.28796805566427,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/tree-house-brewing-company/4f6bd758e4b0e6e00022ead6
Tree House Brewing Co.,42.136732557013374,-72.01224660703858,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/tree-house-brewing-co/5776d91b498ee216f93412cb
OEC Brewing,41.47317109573407,-73.12135189359927,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/oec-brewing/53077fee498e6ef4ae69c795
Schlenkerla,,,From Foursquare list: Beer bucket list,https://app.foursquare.com/v/schlenkerla/4bcb275d3740b71321d96165
