Name,Latitude,Longitude,Description,Foursquare URL
Brattleboro Food Co-op,42.85076665819562,-72.55780275708415,From Foursquare list: Brattleboro,https://app.foursquare.com/v/brattleboro-food-coop/4b48932af964a520a34f26e3
Whetstone Beer Co.,42.851522791174446,-72.55776232345804,From Foursquare list: Brattleboro,https://app.foursquare.com/v/whetstone-beer-co/4ff4b4ece4b048eef6bfd5e8
Latchis Theatre,,,From Foursquare list: Brattleboro,https://app.foursquare.com/v/latchis-theatre/4c141074b7b9c928ffbfaa37
The Vermont Country Deli,,,From Foursquare list: Brattleboro,https://app.foursquare.com/v/the-vermont-country-deli/4b956b77f964a52099a134e3
Three Stones,42.84908270841757,-72.56109518842315,From Foursquare list: Brattleboro,https://app.foursquare.com/v/three-stones/4c005c42ad46c9b631648f66
Hermit Thrush Brewery,42.853361274642474,-72.55905619638004,From Foursquare list: Brattleboro,https://app.foursquare.com/v/hermit-thrush-brewery/5470f8ff498e4a0e5d7d27e5
The Royal Diner,42.867502057359054,-72.62101012726858,From Foursquare list: Brattleboro,https://app.foursquare.com/v/the-royal-diner/4b5a498ff964a52068ba28e3
Curtis All American BBQ,,,From Foursquare list: Brattleboro,https://app.foursquare.com/v/curtis-all-american-bbq/4bd3566977b29c746d979082
Putney Food Co-op,,,From Foursquare list: Brattleboro,https://app.foursquare.com/v/putney-food-coop/4bcf2d8c77b29c7463898882
Putney General Store,,,From Foursquare list: Brattleboro,https://app.foursquare.com/v/putney-general-store/4e472f4cfa76a07fde6503a7
Metropolis,,,From Foursquare list: Brattleboro,https://app.foursquare.com/v/metropolis/4e6aaa2b18381ea1be024540
