Name,Latitude,Longitude,Description,Foursquare URL
Alaska,40.70725676596536,-73.93249470216864,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/alaska/4fdc0c86e4b0ede381ca3d57
Bar Great Harry,40.68231772043119,-73.99337042174062,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/bar-great-harry/475b9b74f964a520d34c1fe3
Bedford Hill,40.68753342134423,-73.95710329560518,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/bedford-hill/4cd024919d87224b684e533b
Boulevard Tavern,40.72126544789543,-73.94243724912936,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/boulevard-tavern/4412d2c3f964a520d8301fe3
Branded Saloon,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/branded-saloon/4bf721834a67c928eb2123cf
Brooklyn Brewery,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/brooklyn-brewery/3fd66200f964a5205deb1ee3
Brooklyn Fire Proof,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/brooklyn-fire-proof/4aea19bff964a52052b921e3
Brooklyn Tap House,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/brooklyn-tap-house/4e8398fdf790caced933cc04
Jake's Handcrafted / Der Kommissar,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/jakes-handcrafted--der-kommissar/4d99d71ff9574eb9e7804294
Duckduck,40.70740075842911,-73.94276444898748,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/duckduck/457430b9f964a520913e1fe3
Freddy's Bar,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/freddys-bar/4d35113b62a22d432a40049b
Good Co Bus,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/good-co-bus/4f2cc190e4b0ccb91226625d
Heavy Woods,40.70573795980849,-73.92139197180231,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/heavy-woods/50267c72e4b0dfdf252451dc
Hope & Anchor Diner,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/hope--anchor-diner/437fbc80f964a520d82a1fe3
113 N 8th St,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/113-n-8th-st/4bfde611f61dc9b669ca9fde
Lavender Lake,40.67855016555001,-73.98986396091094,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/lavender-lake/4fe67a8be4b0d55eff42728f
Littleneck,40.67716477320056,-73.98639760931952,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/littleneck/4ea2c05d0cd6fc5af3c0928b
Mama Joy's,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/mama-joys/4f0f18f5a17c60735551217b
Miles,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/miles/4f10c8cce4b0456266737b23
Pork Slope,40.674639028452546,-73.98184075391674,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/pork-slope/4bf094e53a15d13aa5c23e9f
Project Parlor,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/project-parlor/4ac8ef60f964a52068bd20e3
Rocky Sullivan's,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/rocky-sullivans/3fd66200f964a52013eb1ee3
Sea Witch,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/sea-witch/4ec71ef0e300719914b279b3
The Castello Plan,40.64047432977645,-73.96627546621937,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-castello-plan/4b86f610f964a52057a831e3
The Gate,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-gate/3fd66200f964a5201fee1ee3
The Gibson,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-gibson/49c060a7f964a52061551fe3
The Owl Farm,40.66948149785123,-73.98669030036675,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-owl-farm/4fe50f3de4b0c836715cae01
Ox Tavern,40.63485251400505,-73.9656268852588,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/ox-tavern/4c8afaad6418a143a961e5ce
Soft Spot Bar,40.71938936813866,-73.95608732748398,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/soft-spot-bar/4a558eb0f964a5203cb41fe3
The Way Station,,,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-way-station/4ad13502f964a5207fdd20e3
Banter Bar,40.712158443503704,-73.95727549306196,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/banter-bar/4d5333a85bdbb1f70a524ce6
Black Rabbit,40.73003879439584,-73.95658096238006,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/black-rabbit/46869096f964a52048481fe3
The Black Swan,40.68927388009543,-73.95518041357211,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-black-swan/4bb6daa5ef159c748ba076f7
The Brazen Head,40.68953817926355,-73.991493813197,"From Foursquare list: Brokelyn Beer Book Bars, #3 and 4",https://app.foursquare.com/v/the-brazen-head/3fd66200f964a5203af11ee3
