Name,Latitude,Longitude,Description,Foursquare URL
Group W Bench,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/group-w-bench/4b196b12f964a520fedc23e3
Fashionista Vintage & Variety,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/fashionista-vintage--variety/4bc92ea5937ca5932a7ba592
Estate Treasures,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/estate-treasures/5187e6ea498e8372f735881a
The Clothes Horse,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/the-clothes-horse/4ecc20ddcc214a29d2016990
venom vintage,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/venom-vintage/535d4c1e498e49870cf9bdcd
Pandemonium Thrift New Location,41.382581499237986,-72.445384799979,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/pandemonium-thrift-new-location/6161e19eabb69741e3b2729b
The Past Antiques Market & Museum,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/the-past-antiques-market--museum/51aa0ca8498e2bc283ca0df3
Savers,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/savers/4b6d981cf964a520bd7e2ce3
Savers,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/savers/4b9bc5f5f964a5208a2336e3
Savers,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/savers/4ba7949af964a5205d9f39e3
Red White & Blue Thrift Store,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/red-white--blue-thrift-store/4c5b0da5d3aee21e293f6c55
Village Resale,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/village-resale/513e2462e4b0ab90cc59e9a0
Goodwill,41.42051516058404,-73.10608552255158,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/goodwill/582a1ba8952467476eda7fb8
Goodwill Hamden Store and Donation Center,41.36671900145911,-72.92118420326298,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/goodwill-hamden-store-and-donation-center/4b8d954df964a5206f0233e3
Goodwill,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/goodwill/4c6b206299b9236a285fe0c9
Goodwill Avon,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/goodwill-avon/53d5868b498e84ef919d8d2f
Goodwill,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/goodwill/4be97673c5220f4760d9aaca
Goodwill,41.1378196815288,-73.30407632268451,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/goodwill/4be20de7d27a20a164bf8e5b
Estate Treasures of Greenwich,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/estate-treasures-of-greenwich/54860eb8498ecdf0dbbabfbe
DWR Consignment Boutique,,,From Foursquare list: CT 2nd Hand,https://app.foursquare.com/v/dwr-consignment-boutique/4e31c2a58130800dcf9566ea
