Name,Latitude,Longitude,Description,Foursquare URL
Céleri,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/c%C3%A9leri/55a13a1a498e05d4ec34417b
Bellavista del Jardín del Norte,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/bellavista-del-jard%C3%ADn-del-norte/5784d179498eb6c7429f6aaa
Auto Rosellon,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/auto-rosellon/576fb942498e38f2bc6b4a20
Gresca,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/gresca/4b7af865f964a52032492fe3
Solomillo,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/solomillo/57c9dbb0498e663d115e8441
Restaurante Lasarte,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/restaurante-lasarte/4adcda55f964a520014321e3
NOBOOK,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/nobook/58126e1338facfbae2a20f78
LomoAlto,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/lomoalto/571b5949498e590d66c33ab1
LomoBajo,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/lomobajo/57cb42a6cd106aac98f5973d
Alkimia,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/alkimia/57912e5f498e0b0b8ef3e644
Louis1856,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/louis1856/5662de1f498e6180bc6222ce
Dos Pebrots,41.38289303717394,2.168460256369921,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/dos-pebrots/579908ed498eba18a2b85fac
Estimar,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/estimar/56ec2a65498e7524fe9653f5
Opera Samfaina,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/opera-samfaina/57af4a1a498e73814ec34679
La Alcoba Azul,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/la-alcoba-azul/4c02b3419a7920a149d4ce79
Cera 23,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/cera-23/4e1c064c81dc8ea8b58cc50c
Mercat de Sant Josep - La Boqueria,41.382763164220734,2.1719871077225092,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/mercat-de-sant-josep--la-boqueria/4adcda59f964a520f74321e3
Fàbrica Moritz Barcelona,41.38267103712488,2.1636094878983165,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/f%C3%A0brica-moritz-barcelona/4ed3c0f002d5feaa201fb8f0
El Xampanyet,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/el-xampanyet/4adcda4ef964a520584021e3
Arume,41.378978917021186,2.1659316500844072,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/arume/53b5d201498ea7ec7d3f3b9d
Quimet & Quimet,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/quimet--quimet/4adcda4df964a520064021e3
Camp Nou,41.381125352089924,2.1243763732373386,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/camp-nou/507fe73fd63e93639fd2a84f
Satan's Coffee,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/satans-coffee/4fda2fc2e4b02b4ce2b26007
Nømad Coffee Lab & Shop,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/n%C3%B8mad-coffee-lab--shop/52fafeb4498e411285ad33be
Babèlia Books & Coffee,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/bab%C3%A8lia-books--coffee/503f8360e4b05e2f0ffd40a7
Kӕlderkold,41.38175412297373,2.1733691329994334,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/k%D3%95lderkold/5373bf00498e01926086d0c6
Cassette Bar,,,From Foursquare list: Cap i Casal de Catalunya,https://app.foursquare.com/v/cassette-bar/4ba9470af964a520ac1a3ae3
