Name,Latitude,Longitude,Description,Foursquare URL
Husk,32.7779292031366,-79.93201257087952,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/husk/4cbd2e0886dd952120b6ade6
Poogan's Porch,32.778123088428266,-79.93171199974728,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/poogans-porch/4b4b588bf964a5203b9826e3
Cru Cafe,32.782310038874805,-79.92865158039113,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/cru-cafe/4b61bd4ef964a520b71f2ae3
Magnolias,32.77936986541322,-79.92702842172139,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/magnolias/4b366012f964a520023425e3
The Ordinary,32.79208016749636,-79.94048825185867,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-ordinary/50d257ece4b0e638b9cdc2c2
Charleston Beer Exchange,32.77666434267729,-79.927094004473,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/charleston-beer-exchange/4b510e21f964a520e43f27e3
Westbrook Brewing Company,32.84723288053292,-79.87694167843539,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/westbrook-brewing-company/4d4c814332a3236a11260cea
McCrady's,32.77829255878698,-79.92706121310334,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/mccradys/4be6ebfad4f7c9b620332720
The Rarebit,32.78990121597067,-79.93903471176839,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-rarebit/50c12da5e4b0723643293650
The Green Door,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-green-door/50c8e4cce4b0a3ab391a8d04
Craftsmen Kitchen & Tap House,32.77998454763737,-79.92754761716054,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/craftsmen-kitchen--tap-house/517afe02e4b0a366bf8c55f2
By The Way,32.79254444461019,-79.94245541050928,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/by-the-way/51d21162498eee491109d20e
The Sloppy Cow,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-sloppy-cow/505cde59e4b0ad0a3e0d4055
Kudu Coffee & Craft Beer,32.78723504039932,-79.93755928923491,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/kudu-coffee--craft-beer/4b606ac2f964a520b1e429e3
Closed For Business,32.788546527715724,-79.93840082958023,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/closed-for-business/4b3d5752f964a520bb9225e3
Fig,32.782373322004695,-79.93172839456292,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/fig/4b77694cf964a520aa982ee3
The Gin Joint,32.77944474864989,-79.92707760878972,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-gin-joint/4c76f575947ca1cddbf94537
Hominy Grill,32.789013891827814,-79.94675568379277,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/hominy-grill/4ab80d4df964a520f87b20e3
Blind Tiger Pub,32.776772126532805,-79.92883192949752,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/blind-tiger-pub/4b510bc7f964a520683f27e3
The Bar at Husk,32.77798551415995,-79.93203443055798,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-bar-at-husk/4f94487e4fc66f95d9eeba38
Second State Coffee,32.78001191776423,-79.93753743093627,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/second-state-coffee/4f062e3db8f7dcbb409c166e
City Lights Coffee,32.78061827490521,-79.93275579688495,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/city-lights-coffee/4b192e86f964a520d8d823e3
The Grocery,32.79199798050801,-79.94102376054056,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-grocery/4ef529a802d57489508f892a
Charleston Farmers Market,32.78748329884612,-79.93502915490716,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/charleston-farmers-market/4b91874cf964a52021c333e3
The Royal American,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-royal-american/4eebc2d3f9ab8c5affaf7d9a
Home Team BBQ,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/home-team-bbq/4b106965f964a520da6f23e3
Revelry Brewing Co.,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/revelry-brewing-co/53a376c5498e0b947ff5e769
Dell'z Uptown,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/dellz-uptown/51a50500498efd44edd5b824
Xiao Bao Biscuit,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/xiao-bao-biscuit/50a58015e4b0a346804669bd
Butcher & Bee,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/butcher--bee/4ea0ad02775b6f4fa37b23f7
garcia's tortilla house,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/garcias-tortilla-house/554b6cea498eac17444ad411
Minero,32.778502627226594,-79.9270284217214,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/minero/542f123e498e6631c0e54ee6
Artisan Meat Share,32.79287915151027,-79.94180516018389,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/artisan-meat-share/54205798498e556bb478739a
Mercantile & Mash,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/mercantile--mash/55eb4170498ef330d36d7ac2
Smoke BBQ,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/smoke-bbq/5584aeb7498e999a9a7a2a0d
Élevé,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/%C3%A9lev%C3%A9/55eb39de498e81ccd03aec05
167 Raw,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/167-raw/53c1dc3b498e6c9cbdd19fa4
Martha Lou's Kitchen,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/martha-lous-kitchen/4c3b5269def90f47cfbffd2d
Tattooed Moose,32.81091997731949,-79.94857517665898,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/tattooed-moose/4b9864eaf964a520e53f35e3
Harold's Cabin,32.79593354248676,-79.95383674016293,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/harolds-cabin/56f6bf2a498efedad1fd2856
The Eclectic Cafe & Vinyl,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/the-eclectic-cafe--vinyl/5772c146498ea48387acffd6
Little Jack's Tavern,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/little-jacks-tavern/5712ed9d498eaadf3c061b2b
Feathertop,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/feathertop/57425ebe498e8ffcdf64e33b
Cane Rhum Bar,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/cane-rhum-bar/57a54410498e3ebd81eabf77
Normandy Farm Artisan Bakery,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/normandy-farm-artisan-bakery/4f469d60e4b081614eab10b9
Dave's Carry Out,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/daves-carry-out/4b994dbaf964a520887135e3
Hannibal's Kitchen,,,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/hannibals-kitchen/4d30e70f2d833704f416b8ab
Edmund's Oast,32.80969407477012,-79.94797961109155,From Foursquare list: Charleston Food and Drinkstuffs,https://app.foursquare.com/v/edmunds-oast/52e68055498e7ec32a01d706
