Name,Latitude,Longitude,Description,Foursquare URL
GO Tavern & Liquors,41.91689995349808,-87.70756524036862,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/go-tavern--liquors/510f0958e4b09bd903bd1fbe
Ørkenoy,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/%C3%B8rkenoy/5f4bcf7f0ef3116f9f0cfd43
Billy Sunday,41.92796857773248,-87.7065307724685,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/billy-sunday/50f06ca6e4b0a95d3a536118
Bungalow by Middle Brow,41.917664000389365,-87.6987642939117,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/bungalow-by-middle-brow/5a849626628c832475ad9b34
Hopewell Brewing Company,41.931060428837164,-87.71080802427316,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/hopewell-brewing-company/55d500e5498eeaf83ea0842a
Solemn Oath Brewery,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/solemn-oath-brewery/4fb7ca84e4b09239b72e92f1
Pilot Project Brewing,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/pilot-project-brewing/5c76fd20a795bd002cf8d52e
Life On Marz Community Club,41.91733076322106,-87.6874442242432,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/life-on-marz-community-club/60834f9cf2107a34ea71918e
Big Kids,41.92793505769511,-87.70703598066491,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/big-kids/5f7f839aaac5fe0c8cf34724
Rossi's Liquors,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/rossis-liquors/40db6b00f964a52077011fe3
Billy Goat Tavern,41.889359046799115,-87.62143631755632,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/billy-goat-tavern/4aac1313f964a520175c20e3
"The Gwen, a Luxury Collection Hotel, Michigan Avenue Chicago",41.89150295531,-87.62460329271303,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/the-gwen-a-luxury-collection-hotel-michigan-avenue-chicago/4ac52a77f964a520beb020e3
Lou Malnati's Pizzeria,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/lou-malnatis-pizzeria/4acbd588f964a520edc720e3
Lone Wolf,41.88451982995536,-87.64770062875135,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/lone-wolf/527eef75498e543c551eabca
MingHin Cuisine,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/minghin-cuisine/4cdf271e70bba1cde90465c4
Manny's Cafeteria & Delicatessen,41.867873998912295,-87.64209723681134,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/mannys-cafeteria--delicatessen/49bac1c8f964a520a0531fe3
Monteverde,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/monteverde/562feb3c498e96fc8dcb10f0
La Sirena Clandestina,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/la-sirena-clandestina/5064ea9ae4b036a527481889
Owen & Engine,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/owen--engine/4c86edce56e0370400adaea3
Parachute HiFi,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/parachute-hifi/5376e191498e4456c1769bd0
Tank Noodle,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/tank-noodle/4a5cdeb0f964a520c0bc1fe3
Big Jones,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/big-jones/49f48a6df964a520166b1fe3
Mi Tocaya Antojería,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/mi-tocaya-antojer%C3%ADa/58c97619d25ded5aafabd1bb
Wonfun & 2fun,41.88416482566269,-87.65001309211347,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/wonfun--2fun/57d8239f498e66799c8c2048
Little Goat Diner,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/little-goat-diner/5069b779e4b033d35919d26c
Scofflaw,41.91742084229065,-87.70721400507163,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/scofflaw/4f5829f3e4b0ff1158ed1d8e
Au Cheval,41.88459441034087,-87.6475560959002,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/au-cheval/4f3d871fe4b046e822dbe157
Bavette's Bar & Boeuf,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/bavettes-bar--boeuf/500efc40e4b0e6ec47971a9e
Green Street Smoked Meats,41.883788083814935,-87.64888578086403,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/green-street-smoked-meats/52f18c49498e6b5f0500b610
Intelligentsia Coffee,41.88447662138227,-87.62598666659075,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/intelligentsia-coffee/4a5bc165f964a520b9bb1fe3
W Chicago - City Center,41.87997203630162,-87.63362579959794,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/w-chicago--city-center/4a5d5e35f964a5209abd1fe3
Taqueria El Asadero,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/taqueria-el-asadero/4a5a7621f964a5205eba1fe3
Xoco,41.89072714909156,-87.63116310188481,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/xoco/4a9ff513f964a520b83d20e3
Kuma's Corner,41.93948509725312,-87.70015504344694,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/kumas-corner/49c3caaaf964a52078561fe3
Girl & The Goat,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/girl--the-goat/4c1f8dd3b306c928029768b7
Skylark,41.852643251645695,-87.64619264681161,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/skylark/412e7980f964a520000d1fe3
Old Town Ale House,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/old-town-ale-house/40b28c80f964a520bdfb1ee3
The Publican,41.88673466640619,-87.64866898704615,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/the-publican/4a08f159f964a52028741fe3
Green Mill Cocktail Lounge,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/green-mill-cocktail-lounge/40b28c80f964a52071fe1ee3
Grange Hall Burger Bar,,,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/grange-hall-burger-bar/4ea3417f5c5cd12b3601cddd
The Bad Apple,41.95954116710797,-87.68272669701642,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/the-bad-apple/4a84a641f964a52039fd1fe3
Portillo's,41.89339340255971,-87.63147154879172,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/portillos/49f3473cf964a5207f6a1fe3
Johnnie's Beef,41.909046930081445,-87.81310109500637,From Foursquare list: Chitown Eats,https://app.foursquare.com/v/johnnies-beef/4af36972f964a5205ded21e3
