Name,Latitude,Longitude,Description,Foursquare URL
Collision Bend Brewing Company,41.498688168785016,-81.70393576999956,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/collision-bend-brewing-company/58f00d50829b0c25eb9c3507
The Tremont Tap House,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/the-tremont-tap-house/4abed941f964a520449020e3
Heck's Cafe,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/hecks-cafe/4adf2f88f964a520237821e3
Johnny's Bar on Fulton,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/johnnys-bar-on-fulton/4b75ec52f964a5202f2f2ee3
West Side Market,41.48462029701653,-81.70305373435052,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/west-side-market/4ad9eb07f964a520d91b21e3
The Cleveland Museum of Art,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/the-cleveland-museum-of-art/4ae1de5df964a5202c8821e3
Platform Beer Co,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/platform-beer-co/534ea2ff498eb08094a9fbde
West Side Market Cafe,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/west-side-market-cafe/4bc5adbc41cb76b0dd9c3e6f
Presti's Bakery,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/prestis-bakery/4adb642ef964a520dd2621e3
Great Lakes Brewing Company,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/great-lakes-brewing-company/4ad77bf2f964a520520b21e3
Barrio Tacos Gateway,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/barrio-tacos-gateway/54cbb25e498e6e5d8a7dc18e
Rising Star Coffee Roasters,41.48925986520769,-81.7105907909956,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/rising-star-coffee-roasters/4f7c4ca0e4b09db1ab1fac4f
Mitchell's Ice Cream Kitchen & Shop,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/mitchells-ice-cream-kitchen--shop/50a14a42e4b0bbf777f3cb3f
Heinen's Grocery Store,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/heinens-grocery-store/54ea2e03498e5760d36a66e0
The Greenhouse Tavern,41.49892191925933,-81.6920942333397,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/the-greenhouse-tavern/4ace8227f964a520f5d020e3
Slyman's Restaurant,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/slymans-restaurant/4ad4bff2f964a520aee920e3
Happy Dog,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/happy-dog/4ad4bff0f964a5203be920e3
Terrestrial Brewing Company,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/terrestrial-brewing-company/588280c2561ded7f90593ea7
Grog Shop,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/grog-shop/4ad4bff0f964a5203fe920e3
Sokolowski's University Inn,41.48498673799491,-81.69009461776626,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/sokolowskis-university-inn/4adb69ccf964a5202b2721e3
Momocho,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/momocho/4ad4bff1f964a520a2e920e3
Edwins Leadership & Restaurant Institute,41.48419390682862,-81.59127656040799,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/edwins-leadership--restaurant-institute/51eadf9e498ebafebc12c544
The Spotted Owl,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/the-spotted-owl/52b4d17c498e6f07f761a559
Masthead Brewing Co.,41.50412011555747,-81.68552844840673,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/masthead-brewing-co/5853f59e2980db2d86294042
Forest City Brewery,41.4832757740361,-81.70002800493212,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/forest-city-brewery/578ff714498ead5baf14b995
Saucy Brew Works,41.4896538723724,-81.71087408382695,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/saucy-brew-works/57f26c1e498e6c4e2b357fda
BottleHouse Brewery & Meadery,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/bottlehouse-brewery--meadery/4d9343f1a79d530cbd040573
The Cleveland Brewery,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/the-cleveland-brewery/54caf312498efd6b750672f5
Brick & Barrel,41.489608179183385,-81.70051982802424,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/brick--barrel/535c7f9d498eeb428ee916de
Boss Dog Brewing Company,,,From Foursquare list: Cleveland Brown Town,https://app.foursquare.com/v/boss-dog-brewing-company/59fb9224603d2a17c42c1ecf
