Name,Latitude,Longitude,Description,Foursquare URL
The Clam Shack,43.36087034258799,-70.4784724793253,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/the-clam-shack/4bedb73aa40fc928ae64820c
Estes Lobster House,,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/estes-lobster-house/4bff03bb369476b07e3d8d1f
Bagaduce Lunch,,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/bagaduce-lunch/4bdf176bc3392d7f56259cd5
Lake St. George Brewing Co.,,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/lake-st-george-brewing-co/5988649482a75040aafd8238
Tinder Hearth Wood-Fired Bread,44.397217731673045,-68.7729204435441,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/tinder-hearth-woodfired-bread/5200f0a4498efd443d5c3a22
McLoons Lobster Shack,43.99570986415583,-69.11813596765867,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/mcloons-lobster-shack/4fe8f7a5e4b0a5a17bfedc79
El El Frijoles,44.425886942165434,-69.0076294565842,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/el-el-frijoles/4c6ee9e0b3ce224bd8346fc6
"Dot's Bakery - Round Pond, Maine",,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/dots-bakery--round-pond-maine/4e5432963151fbbe92e427d6
Lompoc Cafe,,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/lompoc-cafe/4c3cc091980320a1581d8be4
Dennett's Wharf,44.38798307115217,-68.79563345270702,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/dennetts-wharf/4c0955fc009a0f479497e7bf
francine bistro,,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/francine-bistro/4b96be58f964a520bae134e3
Strong’s Public House & Patio,44.38043018577911,-68.65744717609962,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/strongs-public-house--patio/51432af9e4b0f578f3589ff4
Perry's Lobster Shack,44.43768773155758,-68.470628086713,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/perrys-lobster-shack/4c40ff64ce54e21e63760a1a
LB Kitchen,,,From Foursquare list: Coastal Maine Road Trippin',https://app.foursquare.com/v/lb-kitchen/58ab25518f0be45e9cb896b9
