Name,Latitude,Longitude,Description,Foursquare URL
Dew Drop Inn,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/dew-drop-inn/4bd3194f046076b058237571
Mikro Depot,41.41447826294948,-72.90254766243754,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/mikro-depot/4fc6b18fe4b045e8f360c116
Ernie's Pizzeria,41.33078041626652,-72.97247186997714,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/ernies-pizzeria/4b9ad987f964a52014dc35e3
Ion Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/ion-restaurant/5296886e498e1161169abfd4
Ruuthai's Kitchen,41.17657353619827,-73.21530768500892,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/ruuthais-kitchen/527b1e27498ea0b3c15c065e
Super Taqueria Las Salsas,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/super-taqueria-las-salsas/5734c7ca498e6fbf67eb4050
Merritt Canteen,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/merritt-canteen/4b6d20bff964a520fd672ce3
Four Burritos,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/four-burritos/4bdc59aafed22d7f90c157c9
The Tasty Yolk,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-tasty-yolk/5db1d16d76b0d60008830dce
Golden Palace Chinese Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/golden-palace-chinese-restaurant/4b6e12ccf964a5206ea82ce3
Ford's Lobsters,41.3246166618409,-71.98568644513121,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/fords-lobsters/4c7e9228a7958cfa87278e2b
State Street Cafe,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/state-street-cafe/4d3c593a44f5a09316dacbbb
LobsterCraft,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/lobstercraft/5b085502628c83002c582c37
Seven Seas Restaurant,41.22268858745586,-73.0564123744488,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/seven-seas-restaurant/4b44b938f964a5205cfa25e3
Mike's Apizza & Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/mikes-apizza--restaurant/4ca8eb6097c8a1cda3d789a5
Roseland Apizza,41.32348620531599,-72.94171097923379,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/roseland-apizza/4b6b6d48f964a52004082ce3
Franklin Giant Grinder Shop,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/franklin-giant-grinder-shop/4bcf1eebb6c49c743b2f9891
Danny's Drive In,41.20018210148498,-73.11436717973648,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/dannys-drive-in/4ba4f3d4f964a520bbc738e3
Shandal's Vegetarian Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/shandals-vegetarian-restaurant/4cf93cd3ce1da1cd2e8acce1
Harborview Market,41.15417499115137,-73.22733525294987,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/harborview-market/4a6745f4f964a52019c91fe3
Bloodroot,41.15726752353004,-73.21943791414874,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/bloodroot/4cb1ea2e6c26952158beb8d9
Super Duper Weenie,41.1638797417966,-73.23347551456608,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/super-duper-weenie/4b12d0a6f964a520ac8e23e3
Pho Saigon,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/pho-saigon/4c7156509c6d6dcbf50cd57a
Brewport,41.170686354282225,-73.19169421713603,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/brewport/5787d0d2498ec9461f604d3f
Colony Grill,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/colony-grill/4aa2e26ff964a5206a4220e3
Eli's Tavern,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/elis-tavern/539a3815498e718f89939d69
Tribus Beer Co.,41.231351087575405,-73.09385555573867,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/tribus-beer-co/5ad0cf789deb7d27b8d73860
The Blue Oar,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-blue-oar/4b93a0aff964a520d54a34e3
Kent Falls Brewing,41.68982975129196,-73.38675965376194,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/kent-falls-brewing/5212b6ca11d208cba2a256f5
Ore Hill & Swyft,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/ore-hill--swyft/5aa42be94aa3f802dedd573c
Cohen's Bagel Company,41.27486163680964,-72.5505592616574,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/cohens-bagel-company/4bc1c43c920eb713211c1b2c
Poppy's Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/poppys-restaurant/4c8af31a3dc2a1cd631bb232
Gaetano's Deli,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/gaetanos-deli/4bc9e5580687ef3ba7b1dacc
Lasting Brass Brewing Co.,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/lasting-brass-brewing-co/57fabc9e498e97bb01806338
New Park Brewing,41.74087406590129,-72.71884562274812,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/new-park-brewing/58d58464d7b473223a53ea0a
Blackstone Irish Pub,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/blackstone-irish-pub/4ba112bdf964a520179537e3
Kinsmen Brewing Co.,41.5678901565476,-72.90191315240484,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/kinsmen-brewing-co/58e927353f5a5c197d9095e3
Alvarium Beer Company,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/alvarium-beer-company/5890d39045005e04ea160f4f
Cold Creek Brewery,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/cold-creek-brewery/55eb2bf4498e084921916816
Colony Grill,41.2220737117127,-73.05657378048546,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/colony-grill/5195327e498e7b523a1b5e35
Captain Scott's Lobster Dock,41.347698878279076,-72.09773937230193,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/captain-scotts-lobster-dock/4ba3b272f964a5208f5538e3
Abbott's Lobster in the Rough,41.3210219892609,-71.98863833268356,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/abbotts-lobster-in-the-rough/4aa197aff964a520274120e3
Johnny Ads,41.29147443533137,-72.3837884606634,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/johnny-ads/4b79db87f964a52076162fe3
The Griswold Inn,41.3513701501808,-72.3865801913065,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-griswold-inn/4b6ee141f964a520bbce2ce3
The Clam Castle,41.27428643087033,-72.55306620390365,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-clam-castle/4bd366f7b221c9b61ab0d9d0
Blackie's Hot Dog Stand,41.54498326475059,-72.95846445286632,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/blackies-hot-dog-stand/4bb7bd083db7b713647a209a
Denmo's Snack & Dairy Bar,41.47264912658428,-73.22227776248143,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/denmos-snack--dairy-bar/4b914731f964a5206eaf33e3
Kamp Dog,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/kamp-dog/4bb6144eef159c74105f75f7
Capitol Lunch,41.67132067643648,-72.78130299306714,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/capitol-lunch/4b63d014f964a520b8922ae3
Ted's Restaurant,41.546507208083824,-72.78344407674453,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/teds-restaurant/4b582311f964a520e84b28e3
Sea View Snack Bar,41.36612498583737,-71.96282281412284,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/sea-view-snack-bar/4bcf195ab6c49c74a1239891
Modern Apizza,41.31383264289907,-72.91276881088804,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/modern-apizza/4aff313ff964a520b93522e3
Frank Pepe Pizzeria Napoletana,41.30288556557696,-72.91710055428979,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/frank-pepe-pizzeria-napoletana/4afe0a99f964a520562d22e3
Sally's Apizza,41.30296420822069,-72.91989797671918,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/sallys-apizza/4aff42a5f964a5209a3622e3
Bridgeport Lobster & Shellfish,41.187521039431985,-73.1878861043269,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/bridgeport-lobster--shellfish/4c701796d7fab1f75a585dc9
Lobster Landing,41.26922529333624,-72.52826721279915,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/lobster-landing/4bddc673ffdec928985ee6a1
Submarine Force Library & Museum,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/submarine-force-library--museum/4b76e77cf964a520f4682ee3
The Place,41.28891228353416,-72.6790520086443,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-place/4baba2d9f964a52078bb3ae3
Sandpiper Restaurant,41.245942852484504,-72.87027205256244,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/sandpiper-restaurant/4bb6386def159c74cd9a75f7
Encore by Goodfellas,41.3109311427673,-72.91753314752613,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/encore-by-goodfellas/4b05867bf964a520a66322e3
Tony & Lucile's Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/tony--luciles-restaurant/4bdc90a32a3a0f47a46db3b6
Mẹcha Noodle Bar,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/m%E1%BA%B9cha-noodle-bar/51a000c7498e7d4b43d1175b
Jimmy's Apizza,41.222935577582895,-73.04326893467682,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/jimmys-apizza/4c509eebd2a7c9b639c0d70f
Black Hog Brewing Co.,41.4740238244828,-73.1521293437474,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/black-hog-brewing-co/53cd1813498e10c40b33c081
Rich Farm Ice Cream Shop,41.45073025759145,-73.14466154120292,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/rich-farm-ice-cream-shop/4bc11ffcb492d13a1d9ea560
The Barn,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-barn/4bd44c35caff95215e6cd6f0
O'Rourke's Diner,41.565705333901946,-72.65290823882859,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/orourkes-diner/4b740f7ff964a520efc52de3
Eli Cannon's,41.561707887315684,-72.65207676735746,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/eli-cannons/4b192fd3f964a520f2d823e3
NoRA Cupcake Co.,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/nora-cupcake-co/4f08b992e4b0ca3a5c995813
Vecchitto's Italian Ice,41.563732013213404,-72.64864114463616,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/vecchittos-italian-ice/4c02ef33f423a5934290cf16
Misquamicut Beach,41.3233478619397,-71.80660445004955,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/misquamicut-beach/4bad1082f964a520f2293be3
The Malted Barley,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-malted-barley/4dc4a29e2271f27051193baa
Sea Swirl,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/sea-swirl/4b952793f964a520e49134e3
Le Petit Café,41.282324224575035,-72.80982808627793,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/le-petit-caf%C3%A9/4ba54be8f964a52091f738e3
Salem Valley Farms,41.463289174735785,-72.27978637542526,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/salem-valley-farms/4beeda663686c9b64f11256e
The Lobster Shack,41.27280385044687,-72.81149574668675,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-lobster-shack/4c000516daf9c9b65b1ffbef
Matunuck Oyster Bar,41.386227475856195,-71.52639058781715,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/matunuck-oyster-bar/4b8a9dcbf964a5206d7532e3
"Burgers, Shakes & Fries",41.07877262326699,-73.46843895721805,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/burgers-shakes--fries/4ced2f7d5de16ea861a3b496
The Treehouse at Oyster Club,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/the-treehouse-at-oyster-club/51a91b03498e3f06daf1454c
Oyster Club,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/oyster-club/4e87a8bcf5b966be3ed75d20
Fresh Salt,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/fresh-salt/4bc8f0800687ef3becfad8cc
Yooki Yama,41.28171011449051,-72.81128801106071,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/yooki-yama/4e1e24ec7d8bc15ae5382473
121 Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/121-restaurant/4b6c5077f964a520f42f2ce3
Taftville Pizza,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/taftville-pizza/50c23d91e4b09f0680a21c69
Red Tomato Pizzeria,41.28600982666845,-72.64394668103067,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/red-tomato-pizzeria/4b5259e3f964a520bf7827e3
Gipper's Restaurant & Ale House,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/gippers-restaurant--ale-house/4c046734310fc9b6464fc761
Rein's New York Style Deli,41.82998597118928,-72.4825680899276,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/reins-new-york-style-deli/4b75df2ef964a520002b2ee3
Art Cafe,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/art-cafe/49ccd922f964a52093591fe3
King & I Thai Restaurant,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/king--i-thai-restaurant/4b9315d0f964a520fe3334e3
Woody's,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/woodys/4b9a728df964a5202cb635e3
First and Last Tavern Hartford,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/first-and-last-tavern-hartford/4b803946f964a520345e30e3
Mozzicato DePasquale Bakery and Pastry Shop,,,From Foursquare list: Connecticut Classic Foods List,https://app.foursquare.com/v/mozzicato-depasquale-bakery-and-pastry-shop/4aa807cdf964a520df4e20e3
