Name,Latitude,Longitude,Description,Foursquare URL
Cayo Caribe Condado,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/cayo-caribe-condado/580a886c38fae4e1a20f4f93
Café Caleta,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/caf%C3%A9-caleta/64259f864f3de5008fca2fd7
La Factoría,18.4671187385689,-66.11755418827057,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/la-factor%C3%ADa/518f1cb5498e9c894c92cecf
La Taberna Lúpulo,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/la-taberna-l%C3%BApulo/4ca7f3bcf47ea143716f7021
Pio Pio Champagne Bar,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/pio-pio-champagne-bar/6129477e645eba38fede6196
Deaverdura,18.46687115462404,-66.11658986683935,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/deaverdura/53344ffd498e745402b3a08a
Bodega Chic,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/bodega-chic/4d85461af1e56ea85b4f878a
El Vino Crudo,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/el-vino-crudo/624ce62db6f53606d2b2df30
Celeste,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/celeste/635c9a770082821c2ca640c8
Machete,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/machete/62429b2066307f2d0fd5a41a
"Orujo, Taller de Gastronomía",,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/orujo-taller-de-gastronom%C3%ADa/63f01d40e4860e48e465bf10
PEKO PEKO,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/peko-peko/57fe81dd498e37bf85060861
Lena Eh,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/lena-eh/632f2eae11a36b2ce360a202
Cocina al Fondo,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/cocina-al-fondo/5c950f94a22db7002ce42b99
La Penúltima,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/la-pen%C3%BAltima/57df0d2f498e2a8308c6e96e
Mai Pen Rai,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/mai-pen-rai/540108c2498e63a9c4656236
Cocina Abierta,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/cocina-abierta/5376b061498e13bc9167732a
Vianda,18.44787639238152,-66.07067059132264,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/vianda/5abc305c89b06a1d5139c4c4
Sur Barra Nikkei,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/sur-barra-nikkei/5d605b5a92ab45000800726f
Cafe Regina,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/cafe-regina/5d22249fca49b3002385fa65
Tia Dora,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/tia-dora/62b36e9219bdc672349269fd
JungleBird,18.450309605617583,-66.0703395001743,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/junglebird/57b1db3c498eabf0b8f7b2c2
Café con Cé,18.45168088500603,-66.05955883059585,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/caf%C3%A9-con-c%C3%A9/57632187498e7856b0d943ee
Café Comunión,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/caf%C3%A9-comuni%C3%B3n/59d381b2d69ed06668226a58
Café Don Ruiz,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/caf%C3%A9-don-ruiz/511d0f1ee4b0024df119fb0e
Café Cuatro Sombras,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/caf%C3%A9-cuatro-sombras/4d56f930cf1b37049612c63f
La Bombonera,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/la-bombonera/5735c216498ef9965b17248f
Kasalta,18.4521656241397,-66.05461583411123,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/kasalta/4c52cf519d642d7f03029fdf
Casa Patria,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/casa-patria/5a480421175562030ae89fa5
La Casita Blanca,18.443298796462553,-66.05368648669591,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/la-casita-blanca/4bc89b5e92b376b080c1513a
Boardriders,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/boardriders/4c54e5e24623be9a27337bf3
Costa Azul / Playa Azul,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/costa-azul--playa-azul/4ba4eabff964a520b9c238e3
Luquillo Beach,18.385644445182166,-65.72910979273246,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/luquillo-beach/4babe7dcf964a52007d43ae3
La Parrilla Restaurant,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/la-parrilla-restaurant/4b5ca8b1f964a520b03c29e3
Ekelekua,,,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/ekelekua/586cf61de0adac429ababb0c
El Yunque National Forest,18.37062346653882,-65.7688882169582,From Foursquare list: DV's Puerto Rico List,https://app.foursquare.com/v/el-yunque-national-forest/4bab9dfaf964a5209ab93ae3
