Name,Latitude,Longitude,Description,Foursquare URL
Bill's Bar & Burger,40.74028097627724,-74.00571426030355,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/bills-bar--burger/4ad74911f964a5203f0921e3
5 Napkin Burger,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/5-napkin-burger/49d8c05df964a520c95d1fe3
67 Burger,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/67-burger/46cc435af964a520394a1fe3
Back Forty,40.727988933803935,-73.97917775564163,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/back-forty/472caf31f964a520014c1fe3
Black Iron Burger,40.724283800623475,-73.98279345554494,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/black-iron-burger/48af085cf964a520ab511fe3
BLT Burger,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/blt-burger/45421e72f964a5204c3c1fe3
Blue 9 Burger,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/blue-9-burger/3fd66200f964a520b8e41ee3
brgr,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/brgr/45841feaf964a520973f1fe3
Brooklyn Flipster's Burger Boutique,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/brooklyn-flipsters-burger-boutique/49f86c71f964a520f46c1fe3
Burger Joint,40.76399546292325,-73.97879322482554,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/burger-joint/41b3a100f964a5206c1e1fe3
Corner Bistro,40.738340868894106,-74.00411322155213,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/corner-bistro/3fd66200f964a52096e91ee3
Donovan's Pub,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/donovans-pub/4532a38ef964a520843b1fe3
DuMont Burger,,,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/dumont-burger/439308daf964a520712b1fe3
Fanelli Café,40.72457181605251,-73.99853530453478,From Foursquare list: Dan V's NYC Burger List v 2.1.1,https://app.foursquare.com/v/fanelli-caf%C3%A9/3fd66200f964a520e3e51ee3
