Name,Latitude,Longitude,Description,Foursquare URL
NOLA,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/nola/4ad4c04ff964a52016f420e3
Commander's Palace,29.92906950535155,-90.08456684856185,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/commanders-palace/4ad4c050f964a520abf420e3
Boucherie,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/boucherie/4ad4c050f964a52087f420e3
Cochon Butcher,29.94217599577749,-90.06698306816524,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/cochon-butcher/4ba41d75f964a520108338e3
Casamento's Restaurant,29.920947528666563,-90.10114055871202,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/casamentos-restaurant/4ad4c050f964a520a2f420e3
Cake Cafe & Bakery,29.96374721382419,-90.05296834924965,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/cake-cafe--bakery/4ae9ce33f964a5209eb621e3
Domilise's Po-Boys,29.917487485232257,-90.11236415955733,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/domilises-poboys/4ad4c04cf964a52037f320e3
Drago's Seafood,29.951094221850592,-90.06369441711914,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/dragos-seafood/50ca02c2245f2d4aa8c2bb1a
Drago's Seafood Restaurant,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/dragos-seafood-restaurant/4ad4c04ff964a5204af420e3
Maple Leaf Bar,29.94912944729263,-90.13203389232277,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/maple-leaf-bar/4ad4c04bf964a520c2f220e3
Dante's Kitchen,29.945788955630217,-90.13515017694387,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/dantes-kitchen/4ad4c04ff964a52058f420e3
R Bar,29.96416803409744,-90.05922485774987,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/r-bar/4e28feada809ec0663f45da5
Tipitina's,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/tipitinas/4ae27ec1f964a520a68e21e3
The Sazerac Bar,29.95405467278258,-90.07169987776979,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-sazerac-bar/4af4aeccf964a5200bf521e3
Le Bon Temps Roulé,29.92047469811098,-90.1063044699488,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/le-bon-temps-roul%C3%A9/4b1def72f964a520661624e3
Lafitte's Blacksmith Shop Bar,29.96098151477773,-90.06351197593438,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/lafittes-blacksmith-shop-bar/41326e00f964a52080191fe3
D.B.A.,29.964038768737396,-90.05787041040595,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/dba/4ada6d8cf964a520822221e3
Saturn Bar,29.96804152405209,-90.04425106865204,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/saturn-bar/41326e00f964a520361a1fe3
Mimi's in the Marigny,29.96496170894869,-90.05157764598924,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/mimis-in-the-marigny/4ad4c04df964a5203ff320e3
Snake and Jake's Christmas Club Lounge,29.94422823455958,-90.12585233071866,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/snake-and-jakes-christmas-club-lounge/4ad4c04cf964a52015f320e3
Acme Oyster House,29.95458690904412,-90.0689719036938,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/acme-oyster-house/4ad4c04df964a52070f320e3
Jacques-Imo's Cafe,29.949202797531612,-90.13209329128946,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/jacquesimos-cafe/41706480f964a520a71d1fe3
Cafe Du Monde,29.957498292631282,-90.06213913383547,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/cafe-du-monde/4aa59477f964a520dd4820e3
Johnny's Po-Boys,29.9552611441276,-90.06443787391423,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/johnnys-poboys/4ad4c04cf964a520e9f220e3
Parkway Bakery & Tavern,29.973590579013113,-90.09050444592603,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/parkway-bakery--tavern/4a67b807f964a520f3c91fe3
St. Charles Streetcar - Nashville,29.92670751306539,-90.10232303780252,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/st-charles-streetcar--nashville/4cf188661d18a1431f1154ec
Port of Call,29.9645113889164,-90.06156447032853,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/port-of-call/453732bff964a520b53b1fe3
The Company Burger,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-company-burger/4e4bfb37483bb8f059993234
Herbsaint,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/herbsaint/4ad4c04bf964a520d4f220e3
Kingpin,29.924551494528007,-90.10760583005057,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/kingpin/4ad4c04cf964a52034f320e3
"Hotel de la Poste – French Quarter, A Renaissance Hotel",29.954588246718362,-90.06635359581598,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/hotel-de-la-poste--french-quarter-a-renaissance-hotel/4ad7cea7f964a520f40e21e3
Central Grocery Co.,29.958848388481854,-90.06089404044661,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/central-grocery-co/4ad4c04ff964a5204ff420e3
Arnaud's Restaurant,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/arnauds-restaurant/4ad4c050f964a5209af420e3
La Petite Grocery,29.92702719766614,-90.08107591464476,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/la-petite-grocery/4af468cdf964a52021f221e3
Coquette,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/coquette/4ad4c050f964a52082f420e3
The Spotted Cat Music Club,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-spotted-cat-music-club/41326e00f964a520521a1fe3
Cooter Brown's Tavern & Oyster Bar,29.942610361801037,-90.13444647777204,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/cooter-browns-tavern--oyster-bar/4ad4c04af964a520aaf220e3
Inn on St Ann,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/inn-on-st-ann/50161f3fe4b06b8dccfeebce
Neyow's Creole Café,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/neyows-creole-caf%C3%A9/4b0c2bbef964a520473823e3
Station 6,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/station-6/57eef261498e25ef21fe92d4
Rosedale Restaurant,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/rosedale-restaurant/580ba8f538fa9e6be06e2282
Sylvain,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/sylvain/4c8192c474d7b60cdb5978d8
Cure,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/cure/4ad4c04df964a52051f320e3
Gabrielle Restaurant,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/gabrielle-restaurant/5a07d22a9deb7d21709857f9
Liuzza's By The Track,29.980313777659024,-90.08322976059334,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/liuzzas-by-the-track/4ad4c04ff964a5201ff420e3
The Camellia Grill,29.943655894823344,-90.1336422658607,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-camellia-grill/468c9652f964a52070481fe3
Willie Mae's Scotch House,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/willie-maes-scotch-house/41326e00f964a520941a1fe3
Arnaud's French 75 Bar,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/arnauds-french-75-bar/4fb8345fe4b0189bef59dc13
Brothers III Lounge,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/brothers-iii-lounge/41326e00f964a52072181fe3
The Avenue Pub,29.93693555679927,-90.07693283857799,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-avenue-pub/41326e00f964a52041181fe3
Twelve Mile Limit,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/twelve-mile-limit/4cccad7f97d0224bbacc61b8
Bacchanal Fine Wine & Spirits,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/bacchanal-fine-wine--spirits/4adbaabff964a520e62921e3
Drip Affogato Bar,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/drip-affogato-bar/57e03c14cd10fe734f8dcb25
HEY! Café,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/hey-caf%C3%A9/4b129fc2f964a520768b23e3
Morning Call,29.98538669893729,-90.09513284781106,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/morning-call/507ac9b7e4b00eb861f98e5c
Melba's Old School Po Boys,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/melbas-old-school-po-boys/50620814e4b0699a766fbad2
The Trolley Stop Cafe,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-trolley-stop-cafe/4ad4c04ff964a5202df420e3
The Alibi,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-alibi/4ad4c04cf964a5201df320e3
Ms Mae's The Club,29.92051239065451,-90.10145101302608,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/ms-maes-the-club/4ada9cd8f964a520cb2321e3
Out In The Cold,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/out-in-the-cold/4c147ea17f7f2d7ffd10e168
First And Last Stop Lounge,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/first-and-last-stop-lounge/4c79ab213badb1f7c8055054
The John,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/the-john/42699000f964a52056211fe3
Saint Bar & Lounge,,,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/saint-bar--lounge/41326e00f964a520321a1fe3
Aloft New Orleans Downtown,29.952721708431163,-90.07232487570332,From Foursquare list: Davis McAlary's New Orleans Eats n' Drinks,https://app.foursquare.com/v/aloft-new-orleans-downtown/5501a6a3498e1d83354342b0
