Name,Latitude,Longitude,Description,Foursquare URL
Farmhouse Cafe,36.44118717311122,-105.57784572244225,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/farmhouse-cafe/527fe8dd11d21ba4f323b319
Gutiz,36.421306286649205,-105.5726241381819,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/gutiz/4c8135a5dc018cfa3e73c36c
Garden of the Gods,38.87958361369327,-104.8781202146932,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/garden-of-the-gods/4ab68cb9f964a520c37720e3
Red Rocks Park & Amphitheatre,39.664969778778925,-105.20663997146323,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/red-rocks-park--amphitheatre/4a0f2472f964a5202e761fe3
Balanced Rock,38.8649472964067,-104.89737572028041,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/balanced-rock/4c51a1ff9426c928ad6a1874
Gray's Coors Tavern,38.27054199497771,-104.61402300623456,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/grays-coors-tavern/4beef7170e0120a1e21b5031
Obie's Fillin' Station,37.96205021516294,-104.79374760420792,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/obies-fillin-station/4e3dce7fd164b52911b2b2f0
Great Sand Dunes National Park & Preserve,37.740141765747644,-105.51673650657814,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/great-sand-dunes-national-park--preserve/4c41c82faf052d7fccd27d79
Taos Mesa Brewing,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/taos-mesa-brewing/50427b61e4b0d3bcede751c8
Zapata Falls,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/zapata-falls/4dfb99a088775f8b52f9b84c
Orlando's New Mexican Cafe,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/orlandos-new-mexican-cafe/4bfab512b182c9b632b67a5a
Lambert's of Taos,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/lamberts-of-taos/51635af7e4b0ee4fb360bd5c
Earthship Visitor Center,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/earthship-visitor-center/4f64ff68e4b0c65cc4d27fce
Three Barrel Brewing,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/three-barrel-brewing/4ec06776f9f4d3ffc304de88
The Love Apple,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/the-love-apple/4c1ac6a455e4c9b6745e4823
La Cueva,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/la-cueva/4dc97bf3e4cd1818d5b980da
parCht Bottleshop + Bites,,,From Foursquare list: Denver to Taos roadtrip!,https://app.foursquare.com/v/parcht-bottleshop--bites/56859a74498eede81741b4c5
