Name,Latitude,Longitude,Description,Foursquare URL
Collado Restaurant,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/collado-restaurant/4c5c47579b28d13a25525670
Four Flours,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/four-flours/546d7898498edc15020ebc66
Iishin Ramen Bar,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/iishin-ramen-bar/5c6b59565a2c91002c15aa1f
Otaru Sushi Bar,41.30447916467918,-72.92846884442548,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/otaru-sushi-bar/5c395966491be7002cde75a1
Kuro Shiro,41.32022010858173,-72.91048466429564,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/kuro-shiro/5bf343edc47cf9002ce56a5f
Next Door Pizza Bar,41.31352295056987,-72.9093944957432,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/next-door-pizza-bar/5b36934f97cf5a0039bbf3cb
Sugar,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/sugar/4bf587ad004ed13a57c040a0
Wolfski,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/wolfski/586c41cfdc332952140a2b00
Olde World Apizza,41.32367059999075,-72.94173404851242,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/olde-world-apizza/4c9d2e0603133704f8605cd5
Mike's Apizza & Restaurant,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/mikes-apizza--restaurant/4ca8eb6097c8a1cda3d789a5
Cody's Diner,41.30087048203668,-72.91687560549767,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/codys-diner/4b93c330f964a520615034e3
Sesame Falafel,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/sesame-falafel/58e56bd86c682b525fc88da7
One 6 Three,41.321025483894985,-72.90927336559784,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/one-6-three/5738d87c498e9028354aecdf
Shake Shack,41.309053645000674,-72.92133416644529,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/shake-shack/50059f11e4b08293c2bef7b4
Yale Cabaret,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/yale-cabaret/4b05867af964a5209a6322e3
Arethusa Farm Dairy,41.30810551478573,-72.9294262708347,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/arethusa-farm-dairy/57098ac5498e59fb68581ae0
The Wine Thief,41.305191176203145,-72.92745373753006,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/the-wine-thief/4b68c077f964a520e68a2be3
The Cask Republic,41.30529814682159,-72.92728070751483,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/the-cask-republic/4d27bb1cb818a35dd1648e8a
Mory's Association,41.30627548338814,-72.92353746081157,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/morys-association/4bc1ef05abf4952130a1c193
Louis' Lunch,41.306089282387404,-72.93041253137028,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/louis-lunch/4b05867af964a520976322e3
Caribbean STYLE,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/caribbean-style/588ce99f0bc55b4647ff89cb
Counter Weight Brewing Co.,41.39216614755597,-72.91774079200165,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/counter-weight-brewing-co/58bdb3bd5490d37e42bebb5d
Woodlawn Duckpin,,,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/woodlawn-duckpin/4bbfdf57920eb7133b33182c
Wooster Square Park,41.303580659269095,-72.917256287945,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/wooster-square-park/4c2cd9acb34ad13a07f7ebce
Corso's Deli & Subs,41.28842127568712,-72.97198171088904,From Foursquare list: Gnu Hey-vin,https://app.foursquare.com/v/corsos-deli--subs/4b58933cf964a520175f28e3
