Name,Latitude,Longitude,Description,Foursquare URL
Molly's Shebeen,40.73839602543277,-73.98354528301306,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/mollys-shebeen/4197f180f964a5201f1e1fe3
Shoolbred's,40.73132990870229,-73.98568022741497,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/shoolbreds/49a68bebf964a5209f521fe3
Ippudo,40.73092967221006,-73.990512460134,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/ippudo-ny/4a5403b8f964a520f3b21fe3
D.B.A.,40.724325432076434,-73.98822261680137,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/dba/3fd66200f964a5202fe41ee3
Good Beer NYC,40.72741514768352,-73.98397571726198,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/good-beer-nyc/4cb34b64aef16dcb6287c754
Swift Hibernian Lounge,40.727343095401146,-73.99210787367122,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/swift-hibernian-lounge/3fd66200f964a520c0e41ee3
Jimmy's No. 43,40.72843588581704,-73.98854973895021,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/jimmys-no-43/4544401ff964a520623c1fe3
Dos Toros Taqueria,40.733973227756955,-73.98995578394299,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/dos-toros-taqueria/4ae63a26f964a520caa521e3
Bedford Cheese Shop,40.736716955803004,-73.98684525426994,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/bedford-cheese-shop/4e626f13e4cdf1e2bf4cea31
Xi'an Famous Foods,40.727605292713726,-73.98551953350095,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/xian-famous-foods/4c2a81398abca59393c8fe1f
Minca,40.72414433492832,-73.98262702005884,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/minca/441519d7f964a520f7301fe3
Russ & Daughters,40.722685919607414,-73.98823409478094,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/russ--daughters/49b6e8d2f964a52016531fe3
Ess-a-Bagel,40.73546601947013,-73.97956228568869,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/essabagel/3fd66200f964a5203eeb1ee3
Edi & The Wolf,40.724127207898704,-73.978902270956,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/edi--the-wolf/4ca0d958e9a7ef3be3085416
Phở Bằng,40.71947969737884,-73.99636033196725,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/ph%E1%BB%9F-b%E1%BA%B1ng/3fd66200f964a52034eb1ee3
Grand Central Oyster Bar,40.75241726810503,-73.97746170919268,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/grand-central-oyster-bar/3fd66200f964a52074e71ee3
Juban,40.74717074343426,-74.00458377913431,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/juban/55061137498e47cb20ea67dd
Sake Bar Decibel,40.729409397512455,-73.98772332402564,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/sake-bar-decibel/3fd66200f964a5203de41ee3
Maialino,40.738509970644124,-73.98564005394907,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/maialino/4afb2990f964a520a91b22e3
Minetta Tavern,40.73014697795186,-74.00071599102598,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/minetta-tavern/44b78a37f964a52070351fe3
Joe's Ginger,40.71487349196243,-73.99843200824306,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/joes-ginger/426d8480f964a52064211fe3
Hecho en Dumbo,40.726838742882016,-73.99164876322172,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/hecho-en-dumbo/4b8bda17f964a520a6ae32e3
Pinché Taqueria,40.722453633307346,-73.99510354237074,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/pinch%C3%A9-taqueria/49b7d7abf964a5202e531fe3
The Smile,40.72646513222699,-73.99384674453454,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/the-smile/49da5fa7f964a5207e5e1fe3
Yakitori Taisho,40.72969565970649,-73.98906050750634,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/yakitori-taisho/42e82000f964a52089261fe3
The Breslin Bar & Dining Room,,,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/the-breslin-bar--dining-room/4aa9386ef964a5208b5220e3
Shake Shack,40.741878571124104,-73.98768315098722,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/shake-shack/40e74880f964a520150a1fe3
Parm,40.72323755333647,-73.99579793398844,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/parm/4d9f8d97a428a1cdd92acb04
Katz's Delicatessen,40.72213631978215,-73.98721829093132,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/katzs-delicatessen/4acbe67af964a52044c820e3
Osteria Morini,40.72165584796006,-73.99727279048311,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/osteria-morini/4c7d4f1b8da18cfa1afc9ece
Pushcart Coffee,40.736561229694104,-73.98163414330183,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/pushcart-coffee/5058bd06e4b0e27671bf4399
Zabb Elee,40.726604954904005,-73.98945649567615,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/zabb-elee/4d8bee4dc640224bd8cc6d54
OST Cafe,40.72902225313092,-73.98122092140568,From Foursquare list: Houseguest Recommendations,https://app.foursquare.com/v/ost-cafe/4989af90f964a5207f521fe3
