Name,Latitude,Longitude,Description,Foursquare URL
Four Seasons,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/four-seasons/4c3306e466e40f47484cc78b
Σπίτι Λαζάρου Κουντουριώτη,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/%CF%83%CF%80%CE%AF%CF%84%CE%B9-%CE%BB%CE%B1%CE%B6%CE%AC%CF%81%CE%BF%CF%85-%CE%BA%CE%BF%CF%85%CE%BD%CF%84%CE%BF%CF%85%CF%81%CE%B9%CF%8E%CF%84%CE%B7/522d8cdd11d203fd99584087
The Cool Mule,37.35035969652293,23.466503030951813,From Foursquare list: Hydra!,https://app.foursquare.com/v/the-cool-mule/535294e711d2885da7d5dcd9
Plakostroto Hydra,37.349030649157996,23.465991435824026,From Foursquare list: Hydra!,https://app.foursquare.com/v/plakostroto-hydra/5ac11e834ac28a74c38f7bb6
Enalion,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/enalion/51c81ca6498e977eee29a71c
Castello,37.34643534593356,23.455329230808083,From Foursquare list: Hydra!,https://app.foursquare.com/v/castello/4c8bdbed5e38b1f7fef32bf9
Avlaki beach,37.35025243019009,23.46098010633823,From Foursquare list: Hydra!,https://app.foursquare.com/v/avlaki-beach/5252d47a498eb5709d1a826a
Téchnē,37.350072464768374,23.461462637531465,From Foursquare list: Hydra!,https://app.foursquare.com/v/t%C3%A9chn%C4%93/5721048f498e1c28323c47b7
Spilia Beach Club,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/spilia-beach-club/4c6c036399b9236ade53e1c9
Papagalos,37.34896797460805,23.466078639569325,From Foursquare list: Hydra!,https://app.foursquare.com/v/papagalos/4e18c3d662e12640d879483a
The Pirate Bar,37.349639000028766,23.465160092826387,From Foursquare list: Hydra!,https://app.foursquare.com/v/the-pirate-bar/4c1d491deac020a17cfd47c2
Hydronetta,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/hydronetta/4dd7c68145ddced8208e803d
Amalour,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/amalour/4c547d2e06901b8d24cde34b
Christina (Χριστίνα),37.34716960130157,23.457834923817234,From Foursquare list: Hydra!,https://app.foursquare.com/v/%CF%87%CF%81%CE%B9%CF%83%CF%84%CE%AF%CE%BD%CE%B1-christina/4f817658e4b0b2237d1302c0
manna,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/manna/55b6a923498e29ba8ef5ff0b
Omilos,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/omilos/4bb61b9f1344b71330fa9c04
Veranda,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/veranda/4c546ac4728920a1f100ba82
Ψήνεσαι;,,,From Foursquare list: Hydra!,https://app.foursquare.com/v/%CF%88%CE%AE%CE%BD%CE%B5%CF%83%CE%B1%CE%B9/52011dd3498e9fb430680c87
Xeri Elia (Ξερή Ελιά),37.34848592471149,23.467933169600226,From Foursquare list: Hydra!,https://app.foursquare.com/v/%CE%BE%CE%B5%CF%81%CE%AE-%CE%B5%CE%BB%CE%B9%CE%AC/5410947f498e713b9bd82c03
