Name,Latitude,Longitude,Description,Foursquare URL
Tomlinson Tap Room,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/tomlinson-tap-room/4ce59a66e1eeb60cb4e691ae
Sahm's Place,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/sahms-place/4ad5006af964a520350121e3
Sun King Brewery,39.76913204379855,-86.14498478919032,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/sun-king-brewery/4ad78002f964a5207b0b21e3
Fountain Square Brew Co.,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/fountain-square-brew-co/4e7e1920b8f700d320a85b00
HopCat,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/hopcat/53ed3d00498eaae8948b30e6
Chatham Tap,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/chatham-tap/4b2444bff964a520016524e3
Ralston's DraftHouse,39.77579421540489,-86.14792195794877,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/ralstons-drafthouse/5057b021e4b04bd69ed75e78
Black Acre Brewing Co.,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/black-acre-brewing-co/4e1a01b5b61c8f9ada5b4d2c
TwoDEEP Brewing Co.,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/twodeep-brewing-co/53d41f02498e2a83f39f52a0
Thr3e Wise Men Brewing Co.,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/thr3e-wise-men-brewing-co/4cd2d899a60d224b549331d1
Flat12 Bierwerks,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/flat12-bierwerks/4cd850152a805481f3719b2c
Chilly Water Brewing Company,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/chilly-water-brewing-company/53a8a7df498ecad91b05584e
New Day Craft,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/new-day-craft/4beda0ed6c5c9521d0e7068a
Broad Ripple Brewpub,39.87344108650917,-86.14263890906167,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/broad-ripple-brewpub/4b16de74f964a520b2be23e3
Upland Brewing Company Tasting Room,,,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/upland-brewing-company-tasting-room/4af8961df964a520790e22e3
Twenty Tap,39.851114465680126,-86.1460334423797,From Foursquare list: Indy OR Craft Beer hitlist,https://app.foursquare.com/v/twenty-tap/4e5e532814954da39fee1853
