Name,Latitude,Longitude,Description,Foursquare URL
Indian Curry (インデアンカレー),,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E3%82%A4%E3%83%B3%E3%83%87%E3%82%A2%E3%83%B3%E3%82%AB%E3%83%AC%E3%83%BC/4bcaa2f0b6c49c7402009191
Ghar (CURRY家 Ghar),,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/curry%E5%AE%B6-ghar/4fd6bf67e4b0f620deb5e60c
Kuromon Market (黒門市場),34.66539494661532,135.50682001885545,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E9%BB%92%E9%96%80%E5%B8%82%E5%A0%B4-kuromon-market/4b5d995ff964a520fd6229e3
Hana Sake Bar (はな酒バー),,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E3%81%AF%E3%81%AA%E9%85%92%E3%83%90%E3%83%BC/558589c0498e9d88dc856f9d
CraftBeerWorks Kamikaze,34.67380356215374,135.49319581979898,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/craftbeerworks-kamikaze/4fbb6d93e4b03e1f0d88b8a2
Houzenji Sanpei (法善寺 三平),34.66821250029826,135.50266790215926,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E6%B3%95%E5%96%84%E5%AF%BA%E4%B8%89%E5%B9%B3/4bd2d4e3b221c9b6ba55d8d0
BIOTOP OSAKA,34.670980901917375,135.49551993931613,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/biotop-osaka/535b7cf8498ec82a5654f86d
UNBY GENERAL GOODS STORE OSAKA,34.67248179736005,135.49603540317398,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/unby-general-goods-store-osaka/568cdcc3498edf4512aa2a1e
LiLo Coffee Roasters,34.6740200057631,135.49796384041036,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/lilo-coffee-roasters/53e458d6498e40c7e22ebe7f
潜水艦Bar 深化,,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E6%BD%9C%E6%B0%B4%E8%89%A6bar-%E6%B7%B1%E5%8C%96/4be94a6688ed2d7febc2cc1d
Bar 6696,,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/bar-6696/59148ece2e26803a30765fe0
Ippodo Tea (一保堂茶舗),,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E4%B8%80%E4%BF%9D%E5%A0%82%E8%8C%B6%E8%88%97/4b774f76f964a520ff902ee3
Hankyu Men's Osaka (阪急メンズ大阪),,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E9%98%AA%E6%80%A5%E3%83%A1%E3%83%B3%E3%82%BA%E5%A4%A7%E9%98%AA-hankyu-mens-osaka/4b6be5e2f964a520db1b2ce3
Kiyomizu-dera Temple (清水寺),,,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E6%B8%85%E6%B0%B4%E5%AF%BA-kiyomizudera-temple/4b5bda8ff964a520ee1929e3
Forever Museum of Contemporary Art (フォーエバー現代美術館),35.00172845704132,135.77473396950023,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E3%83%95%E3%82%A9%E3%83%BC%E3%82%A8%E3%83%90%E3%83%BC%E7%8F%BE%E4%BB%A3%E7%BE%8E%E8%A1%93%E9%A4%A8/594a33ab1499465120b606bd
Sanjusangen-do (三十三間堂),34.98709829728,135.77186836285324,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E4%B8%89%E5%8D%81%E4%B8%89%E9%96%93%E5%A0%82-sanj%C5%ABsangend%C5%8D/4b67c90df964a520ae5d2be3
麺ビストロ Nakano,35.004933920629405,135.75670064565364,From Foursquare list: Japan ハネムーン (Hanemūn),https://app.foursquare.com/v/%E9%BA%BA%E3%83%93%E3%82%B9%E3%83%88%E3%83%AD-nakano/54aa15e3498e16f50fdbfa79
