Name,Latitude,Longitude,Description,Foursquare URL
Sally's Apizza,41.30296420822069,-72.91989797671918,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/sallys-apizza/4aff42a5f964a5209a3622e3
Zuppardi's Apizza,41.27662223714714,-72.94803764502066,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/zuppardis-apizza/4b8561d6f964a5204e5a31e3
Caseus,41.313001189442076,-72.92149566515177,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/caseus/4b47ebc7f964a520074426e3
Modern Apizza,41.31383264289907,-72.91276881088804,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/modern-apizza/4aff313ff964a520b93522e3
Frank Pepe Pizzeria Napoletana,41.30288556557696,-72.91710055428979,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/frank-pepe-pizzeria-napoletana/4afe0a99f964a520562d22e3
Bar,41.3062755816636,-72.93029141187506,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/bar/4b284c8bf964a520309224e3
Koffee? on Audubon,41.31155441790564,-72.92190517923957,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/koffee-on-audubon/4b2197f1f964a520913e24e3
Yale University Art Gallery,41.30856522753362,-72.93144492837988,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/yale-university-art-gallery/4b05867af964a520876322e3
Da Legna,41.313414705192734,-72.91336868415843,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/da-legna/4ef35f7fbe7be23b0f974db8
Blue State Coffee,41.311033219888735,-72.93004917270011,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/blue-state-coffee/4b1d6209f964a520bc0f24e3
Yale Center for British Art,41.30978559915229,-72.9277651912413,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/yale-center-for-british-art/4b05867af964a520856322e3
Blue State Coffee,41.31045551003083,-72.92556770359549,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/blue-state-coffee/4b09a8aef964a520251b23e3
Lucibello's Italian Pastry Shop,41.30764980615277,-72.9189635835892,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/lucibellos-italian-pastry-shop/4b05867bf964a520a56322e3
Claire's Corner Copia,41.305578281570135,-72.92436801676412,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/claires-corner-copia/4b05867af964a520986322e3
The Coffee Pedaler,41.31600092653304,-72.90903687323281,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/the-coffee-pedaler/525697b111d26b109042a57a
Union League Cafe,41.30781245317387,-72.92822083575311,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/union-league-cafe/4af4a7f7f964a520bff421e3
Shake Shack,41.309053645000674,-72.92133416644529,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/shake-shack/50059f11e4b08293c2bef7b4
Louis' Lunch,41.306089282387404,-72.93041253137028,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/louis-lunch/4b05867af964a520976322e3
Willoughby's Coffee & Tea,41.31002886275003,-72.92698655620099,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/willoughbys-coffee--tea/4b058678f964a5204a6322e3
Barcade,41.305653249227944,-72.92401618438686,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/barcade/5643a4e4498e822123f77d23
Three Sheets,41.31192261160085,-72.93323286793215,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/three-sheets/52b3593711d24c47e9dcd21d
Peabody Museum of Natural History,41.31653263255724,-72.92492748685382,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/peabody-museum-of-natural-history/4b058679f964a5205d6322e3
East Rock Park,41.31826798651879,-72.9127918829647,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/east-rock-park/4b05867cf964a520e56322e3
Lighthouse Point Park,41.24899465866259,-72.90281877075819,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/lighthouse-point-park/4b05867af964a5207f6322e3
Wooster Square Park,41.303580659269095,-72.917256287945,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/wooster-square-park/4c2cd9acb34ad13a07f7ebce
Sterling Memorial Library,41.311637028899476,-72.92848037970629,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/sterling-memorial-library/4ad21b72f964a5206adf20e3
Beinecke Rare Book and Manuscript Library,41.31152339798891,-72.92739029320569,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/beinecke-rare-book-and-manuscript-library/4b058679f964a520626322e3
Shell & Bones Oyster Bar and Grill,41.28055358682027,-72.92954162315473,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/shell--bones-oyster-bar-and-grill/55b975ef498e4ae517ff02bb
Lobster Landing,41.26922529333624,-72.52826721279915,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/lobster-landing/4bddc673ffdec928985ee6a1
Stony Creek Brewery,41.274446670129244,-72.81289218715764,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/stony-creek-brewery/55047a41498e8da63adbc912
Thimble Island Brewing Company,41.296463300419376,-72.77169962929656,From Foursquare list: Kelly and Danny's List for NHV Visitors,https://app.foursquare.com/v/thimble-island-brewing-company/4ce5ba4c8ef78cfadcbf879b
