Name,Latitude,Longitude,Description,Foursquare URL
One Woman Winery,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/one-woman-winery/4c02d0ba9a7920a16807cf79
Kontokosta Winery,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/kontokosta-winery/51be210f498e1ea22fe7590a
Lieb Cellars,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/lieb-cellars/4f32885819836c91c7e10c1b
Bedell Cellars,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/bedell-cellars/4ae528dbf964a52070a021e3
Sparkling Pointe Vineyards,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/sparkling-pointe-vineyards/4ba22d90f964a52093e137e3
Lenz Winery,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/lenz-winery/4a999907f964a520562f20e3
Osprey's Dominion Vineyard,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/ospreys-dominion-vineyard/4bcb3cb33740b71354066265
Chamard Vineyard,41.301147508958984,-72.54479435839359,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/chamard-vineyard/4b3fc824f964a5209fae25e3
Stonington Vineyards Inc,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/stonington-vineyards-inc/4be84b1188ed2d7fa1b1cb1d
Lost Acres Vineyard,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/lost-acres-vineyard/4e7e362c9adffa2ada19b5bf
Gouveia Vineyards,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/gouveia-vineyards/4bae7251f964a52081b33be3
Sharpe Hill Vineyard,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/sharpe-hill-vineyard/4c2f5fdf213c2d7f5fb1305d
Jonathan Edwards Winery,,,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/jonathan-edwards-winery/4b9a8a6af964a5204abf35e3
DiGrazia Vineyards,41.4686025391057,-73.3694852232106,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/digrazia-vineyards/4b9c1a69f964a5205b4a36e3
Hopkins Vineyard,41.70474877320054,-73.35384437298627,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/hopkins-vineyard/4b9c1c3ef964a520144b36e3
Haight-Brown Vineyard,41.74127646843367,-73.17184638769335,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/haightbrown-vineyard/4b8abbfdf964a5204c7d32e3
Connecticut Valley Winery,41.82273909135904,-73.05943871893228,From Foursquare list: Kelly and Danny's winery tour,https://app.foursquare.com/v/connecticut-valley-winery/4b8b0655f964a520ea8e32e3
