Name,Latitude,Longitude,Description,Foursquare URL
Thomas Rigby's,53.40588395898854,-2.9914391253391894,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/thomas-rigbys/4b41f018f964a52073ca25e3
Lion Tavern,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/lion-tavern/4af41850f964a5200af021e3
The Vernon Arms,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-vernon-arms/4bebd4f90acf76b01e933cc8
The Excelsior,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-excelsior/4b9166fef964a5208cb933e3
The Ship & Mitre,53.40954851505893,-2.9844034770745007,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-ship--mitre/4b50bb7bf964a520d92f27e3
The Bridewell,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-bridewell/5d1fb2568367cf00239e1c10
Doctor Duncan's,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/doctor-duncans/4b62027cf964a52055302ae3
Baltic Fleet,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/baltic-fleet/4bb9f8c61261d13ad20aea98
The Grapes,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-grapes/4b60b81cf964a520c5f529e3
Peter Kavanagh's,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/peter-kavanaghs/4b802de8f964a520c05930e3
Ye Cracke,53.40069744799498,-2.972116277491474,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/ye-cracke/4b8acf92f964a5209a8232e3
The Roscoe Head,53.402158394417135,-2.9740646221686786,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-roscoe-head/4bb64c102ea19521f472ab2f
The Dispensary,53.402434139022574,-2.9757093935575005,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-dispensary/4b804885f964a520146430e3
Ye Hole in Ye Wall,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/ye-hole-in-ye-wall/4c0a65763c70b713f2fb275b
The Dead Crafty Beer Company,53.40902774507946,-2.9858130370585707,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/the-dead-crafty-beer-company/56c37a91cd1020ede50eae57
Carnival Brewing Company,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/carnival-brewing-company/5df3c2ab0b6fa0000881fd5a
Liverpool Brewing Company,,,From Foursquare list: Liverpool Pubs of Note,https://app.foursquare.com/v/liverpool-brewing-company/610fb0596962ef77ce574ee8
