Name,Latitude,Longitude,Description,Foursquare URL
The Old Coffee House,,,From Foursquare list: Londontown,https://app.foursquare.com/v/the-old-coffee-house/4ad204d6f964a520dfde20e3
CRAFTNDRAFT,,,From Foursquare list: Londontown,https://app.foursquare.com/v/craftndraft/5aabd608f62f2b3ee9b81670
Beer Hawk,,,From Foursquare list: Londontown,https://app.foursquare.com/v/beer-hawk/5c8154c4112c6c002c1b1502
karma bread,,,From Foursquare list: Londontown,https://app.foursquare.com/v/karma-bread/55c8d141498e545cf96c49d0
Waterstones,,,From Foursquare list: Londontown,https://app.foursquare.com/v/waterstones/4c6a6d75897b1b8d73aab117
Swaine Adeney Brigg,,,From Foursquare list: Londontown,https://app.foursquare.com/v/swaine-adeney-brigg/4d3175d38c42a1cd56bfde5d
James Smith & Sons,51.51680021544295,-0.12677419927760722,From Foursquare list: Londontown,https://app.foursquare.com/v/james-smith--sons/4ac518f3f964a520c4ae20e3
Fortnum & Mason,,,From Foursquare list: Londontown,https://app.foursquare.com/v/fortnum--mason/4ac518ecf964a52075ac20e3
Harrods,,,From Foursquare list: Londontown,https://app.foursquare.com/v/harrods/4abf8c03f964a520079120e3
Smithfield Market,51.51959200502144,-0.101142736273786,From Foursquare list: Londontown,https://app.foursquare.com/v/smithfield-market/4b993328f964a520396935e3
Tower of London,51.50775348749484,-0.0758185798975538,From Foursquare list: Londontown,https://app.foursquare.com/v/tower-of-london/4ac518cef964a520f7a520e3
The Princess of Shoreditch,51.5254530318464,-0.08386141593857376,From Foursquare list: Londontown,https://app.foursquare.com/v/the-princess-of-shoreditch/4ad0adf5f964a5200bd920e3
The Jugged Hare,51.52077980795889,-0.09256530856826276,From Foursquare list: Londontown,https://app.foursquare.com/v/the-jugged-hare/4f3be67f6d860dd7f857480f
Brawn,51.5288710305238,-0.07028606865680703,From Foursquare list: Londontown,https://app.foursquare.com/v/brawn/4ceed4e213aea143e6e16f9f
Sketch,,,From Foursquare list: Londontown,https://app.foursquare.com/v/sketch/4ac518caf964a520aca520e3
Woodlands Restaurant,,,From Foursquare list: Londontown,https://app.foursquare.com/v/woodlands-restaurant/4ac518dbf964a520f5a820e3
Smoking Goat,51.52426662858351,-0.07700542750973159,From Foursquare list: Londontown,https://app.foursquare.com/v/smoking-goat/59f361b48a6f174d16302041
Brat,,,From Foursquare list: Londontown,https://app.foursquare.com/v/brat/5ab57aa175a6ea024c652ef6
Honey & Co,,,From Foursquare list: Londontown,https://app.foursquare.com/v/honey--co/4ff40fdee4b0f3316162b393
Cakes & Bubbles,,,From Foursquare list: Londontown,https://app.foursquare.com/v/cakes--bubbles/5be41fdb92e7a9002c787096
Tayyabs,,,From Foursquare list: Londontown,https://app.foursquare.com/v/tayyabs/4ad0972ff964a520a0d820e3
Prospect of Whitby,,,From Foursquare list: Londontown,https://app.foursquare.com/v/prospect-of-whitby/4beeb7413686c9b600d3246e
Xi'an Impression,51.553906096796936,-0.1098836349287238,From Foursquare list: Londontown,https://app.foursquare.com/v/xian-impression/55a554b2498e1727ae7fcb35
Corner Room,,,From Foursquare list: Londontown,https://app.foursquare.com/v/corner-room/4dd95f4d52b1a5c6447c0c8f
The Hunter S,51.54585402085741,-0.0835493951555439,From Foursquare list: Londontown,https://app.foursquare.com/v/the-hunter-s/4f3973e2e4b099ca96814331
Beigel Bake,51.524578098834674,-0.07157204091307094,From Foursquare list: Londontown,https://app.foursquare.com/v/beigel-bake/4ac518bbf964a5200ca220e3
Neal's Yard Dairy,51.50547383258416,-0.09136151137012337,From Foursquare list: Londontown,https://app.foursquare.com/v/neals-yard-dairy/4bf7c1814a67c928a21a24cf
The Royal Oak,,,From Foursquare list: Londontown,https://app.foursquare.com/v/the-royal-oak/4ae6071af964a5202ba421e3
The Cock Tavern,51.54645617861612,-0.055253186143097065,From Foursquare list: Londontown,https://app.foursquare.com/v/the-cock-tavern/4c5d9f90857ca593f45fcdcb
The Rake,51.50618244991802,-0.09093932136670788,From Foursquare list: Londontown,https://app.foursquare.com/v/the-rake/4ace2e9ef964a520e1ce20e3
Caravan King's Cross,51.53546933556851,-0.1254050957695002,From Foursquare list: Londontown,https://app.foursquare.com/v/caravan-kings-cross/5002cf70e4b0ebdd7341a082
The Craft Beer Co.,,,From Foursquare list: Londontown,https://app.foursquare.com/v/the-craft-beer-co/4debea52b3ad083a33d2bef3
BrewDog Camden,51.53855841003857,-0.14093355041077407,From Foursquare list: Londontown,https://app.foursquare.com/v/brewdog-camden/4edce907c2ee3cd644c79c65
Kaffeine,,,From Foursquare list: Londontown,https://app.foursquare.com/v/kaffeine/4ad24f09f964a520d3e020e3
The Craft Beer Co.,51.53265980397362,-0.11089716831451063,From Foursquare list: Londontown,https://app.foursquare.com/v/the-craft-beer-co/5045e44229a683960498d226
Holborn Whippet,51.52010425993324,-0.11880036053726242,From Foursquare list: Londontown,https://app.foursquare.com/v/holborn-whippet/4fb67af3e4b014d752c9b6c7
The Gunmakers,,,From Foursquare list: Londontown,https://app.foursquare.com/v/the-gunmakers/4acdba5cf964a520d8cc20e3
Honest Burgers King's Cross,,,From Foursquare list: Londontown,https://app.foursquare.com/v/honest-burgers-kings-cross/52ac40b211d287ee0ddb7520
The Euston Tap,,,From Foursquare list: Londontown,https://app.foursquare.com/v/the-euston-tap/4cd450ca67adf04da9952691
"The Parcel Yard, King's Cross",51.53212284158919,-0.12414318839349128,From Foursquare list: Londontown,https://app.foursquare.com/v/the-parcel-yard-kings-cross/4f634969e4b0ce431bfee234
KERB King's Cross,51.53524403345804,-0.12481218092910615,From Foursquare list: Londontown,https://app.foursquare.com/v/kerb-kings-cross/4e8c37c37bebcada8da23b27
Edinboro Castle,,,From Foursquare list: Londontown,https://app.foursquare.com/v/edinboro-castle/4ad64b39f964a5205e0621e3
The Old Dairy,51.570538919171014,-0.11577061350475572,From Foursquare list: Londontown,https://app.foursquare.com/v/the-old-dairy/4ae30744f964a520fa8f21e3
Piebury Corner,51.551029595176004,-0.110153962614206,From Foursquare list: Londontown,https://app.foursquare.com/v/piebury-corner/50b8b1d4e4b09c6540ef2b8d
Namak Mandi,,,From Foursquare list: Londontown,https://app.foursquare.com/v/namak-mandi/4f8aca74e4b060b7f8a50daf
Wheatsheaf,,,From Foursquare list: Londontown,https://app.foursquare.com/v/wheatsheaf/4c5072251886c9b64500bd28
Mirch Masala,,,From Foursquare list: Londontown,https://app.foursquare.com/v/mirch-masala/4ba53a69f964a520bdee38e3
The Antelope,,,From Foursquare list: Londontown,https://app.foursquare.com/v/the-antelope/4af1d091f964a5206be321e3
The Faltering Fullback,51.56858358528349,-0.10822173863447165,From Foursquare list: Londontown,https://app.foursquare.com/v/the-faltering-fullback/4b314798f964a520cc0325e3
Liberty of London,51.513612413268746,-0.14037108363497897,From Foursquare list: Londontown,https://app.foursquare.com/v/liberty-of-london/4ac518ecf964a52072ac20e3
Borough Market,51.50578837528347,-0.08946377749554668,From Foursquare list: Londontown,https://app.foursquare.com/v/borough-market/4ac518eff964a52064ad20e3
