Name,Latitude,Longitude,Description,Foursquare URL
Broken Spanish,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/broken-spanish/55725b03498ecb997c232cc4
Cassell's Hamburgers,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/cassells-hamburgers/459ccb48f964a5209e401fe3
Eveleigh,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/eveleigh/4cc9c05ed338236a2181a47c
Chi Spacca,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/chi-spacca/510ec7c6e4b07691985efddd
Jon & Vinny's,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/jon--vinnys/553559ab498ee7a9ecd3e7ba
Night + Market Song,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/night--market-song/5330e60d498ed6ce5e0474c9
Leo's Taco Truck,34.046180420362944,-118.34580388134344,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/leos-taco-truck/576da5d4cd109214766b2e93
Park's BBQ,34.053976362992074,-118.29211333561952,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/parks-bbq/4ad94bbaf964a520a61921e3
Jitlada Thai Restaurant,34.09851478798106,-118.30414181460884,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/jitlada-thai-restaurant/4a33366ff964a520179b1fe3
Tsujita LA Artisan Noodle,34.03945388778346,-118.44254750521824,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/tsujita-la-artisan-noodle/4dd4560cd1649f0f048bc444
Intelligentsia Coffee & Tea,34.092048602549454,-118.28019819482306,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/intelligentsia-coffee--tea/49bad052f964a520b3531fe3
Gjusta,33.995210145698294,-118.47473160222857,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/gjusta/544e59cc498ee019d1af49d6
In-N-Out Burger,33.95353794679463,-118.39688138553821,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/innout-burger/3fd66200f964a52092ee1ee3
Canter's Deli,34.07872584576038,-118.36140096955826,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/canters-deli/3fd66200f964a520a0ee1ee3
Yu Chun Chic Naeng Myun,34.052818963979625,-118.30595714472057,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/yu-chun-chic-naeng-myun/4a9f3476f964a520e93c20e3
A-Frame,33.99710890113757,-118.4323428818863,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/aframe/4cc8fadf4650a35d34eb8b1e
Dinah's Family Restaurant,33.98038607002511,-118.39491868937914,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/dinahs-family-restaurant/49f5dec6f964a520c76b1fe3
Pizzeria Mozza,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/pizzeria-mozza/4724d2d5f964a520d74b1fe3
KazuNori: The Original Hand Roll Bar,34.04772962218874,-118.24749151091754,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/kazunori-the-original-hand-roll-bar/53d06bba498e6c801ea9816e
Pine & Crane,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/pine--crane/532e2461498e6e1fdeba6339
Wurstküche,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/wurstk%C3%BCche/49b064dcf964a520bc521fe3
Guisados,34.07037670175894,-118.25032390131602,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/guisados/50e4af3de4b067b02e8b8842
Kang Ho Dong Baek Jeong,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/kang-ho-dong-baek-jeong/4f0fcb0be4b07e9ec8c0cacc
Langer's Delicatessen-Restaurant,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/langers-delicatessenrestaurant/450e8829f964a52062391fe3
Shin-Sen-Gumi Hakata Ramen - Little Tokyo,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/shinsengumi-hakata-ramen--little-tokyo/4e5b046a227188671508b714
Hugo's Restaurant,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/hugos-restaurant/49ff23c3f964a520de6f1fe3
Bay Cities Italian Deli & Bakery,34.0594233018467,-118.47290669189525,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/bay-cities-italian-deli--bakery/4a2ffbe1f964a52001991fe3
Mama Shelter,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/mama-shelter/55a1dfe3498ea5a1adb99dbd
The Good Beer Company,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/the-good-beer-company/532e2368498e6bfb9a780a72
Cassia,34.019751658085745,-118.49364675338694,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/cassia/5580cfe3498eb8ba1ca0874a
Tsujita Annex,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/tsujita-annex/53de9122498e5e65f14bd358
Lukshon,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/lukshon/4d35b589e9f8a0905c1dd15c
The Apple Pan,34.04071129562474,-118.42779081370978,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/the-apple-pan/3fd66200f964a520a5ee1ee3
Tentenyu,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/tentenyu/5765a096498ede5f06f61fbd
Destroyer,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/destroyer/57d72ebb498ef0b18298de84
Little Fatty,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/little-fatty/582fcf70d0bb3e21436eaa12
Ashland Hill,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/ashland-hill/54cc6895498ecfa9d562efda
Beachwood BBQ & Brewing,33.76992912051276,-118.19135943307326,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/beachwood-bbq--brewing/4dfa7485aeb785aedbf1cda7
Smog City Brewing Co.,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/smog-city-brewing-co/51735e1f498ed50cd21cb683
The OP Cafe,34.020690227508084,-118.45241499205817,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/the-op-cafe/4a75b745f964a52010e11fe3
Hokkaido Ramen Santouka,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/hokkaido-ramen-santouka/4a7f29bdf964a52016f31fe3
Daikokuya,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/daikokuya/4127e200f964a520540c1fe3
Lo/Cal Coffee & Market,34.02059626735311,-118.46694707913915,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/local-coffee--market/53dd128c498ead5222ffd212
Grand Central Market,34.05057007432954,-118.2487820817059,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/grand-central-market/49f65012f964a5202f6c1fe3
The Last Bookstore,34.04758493277865,-118.249838515158,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/the-last-bookstore/4dee93a0d4c019425301dd4e
Skylight Books,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/skylight-books/4a0871e0f964a520c9731fe3
Annenberg Space for Photography,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/annenberg-space-for-photography/4a1ddeb0f964a520a57b1fe3
Arts District Brewing Company,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/arts-district-brewing-company/565ddc0a498ee555d26003aa
SunCafe Organic,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/suncafe-organic/4b8c669ef964a520e2ce32e3
Cafe Gratitude,33.98684612432622,-118.46291495172481,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/cafe-gratitude/4ff8a3d6e4b0f1c619297ae1
Crossroads Kitchen,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/crossroads-kitchen/5143f55ee4b027a9f6d94e3a
Vans,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/vans/4b5e151ef964a520b47c29e3
Vacation Vinyl,34.091315937012894,-118.2791876246678,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/vacation-vinyl/4c4f5b8498c8ef3b9f073c1d
La Isla Bonita,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/la-isla-bonita/4b09bef8f964a520d01c23e3
Blackbeard's Crafts,34.045199094734826,-118.45206136969769,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/blackbeards-crafts/577acff7498e283017cc9adf
Wurstküche Restaurant Venice Beach,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/wurstk%C3%BCche-restaurant-venice-beach/4e3db435d22d102e8545e7e3
El Segundo Brewing Company,33.917677710896605,-118.4154345741023,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/el-segundo-brewing-company/4e30d618d22d33105980a212
Beer Belly,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/beer-belly/4d3f4386adb6236a5a5d7d40
Mohawk Bend,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/mohawk-bend/4df3b60518386ecb4e3175f9
Sunset Beer Company,,,From Foursquare list: Los Angel-es,https://app.foursquare.com/v/sunset-beer-company/4e72b052d22d2fd313fa72fc
