Name,Latitude,Longitude,Description,Foursquare URL
Antojitos La Chiapaneca,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/antojitos-la-chiapaneca/4d041464dc45a0934c19e8c6
Burrito Amor,20.209428654246157,-87.46785808401481,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/burrito-amor/550f1287498e6f26c632d50a
La Zebra,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/la-zebra/4bcfc97841b9ef3b8830f9e5
ARCA,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/arca/5567d293498e553d35d97d1a
Tulum Archeological Site (Zona Arqueológica de Tulum),20.21754213115445,-87.43673830866545,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/zona-arqueol%C3%B3gica-de-tulum/4b71d164f964a520355e2de3
Tulum Beach,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/tulum-beach/4dc82f8bd22dafda2fe5d3bf
Playa Paraiso,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/playa-paraiso/4ef8dd84e5fa4f286c9510c8
Gran Cenote,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/gran-cenote/4c460deacd5ca593f2a8ff86
Cenote Dos Ojos,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/cenote-dos-ojos/4d1caf2109546dcb2161d438
Cueva del Pescador,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/cueva-del-pescador/4c2d3c6b4e132d7f1b299cdf
Club de la Cerveza,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/club-de-la-cerveza/4ee30445e4b0e39159c0740e
Fairmont Mayakoba,20.613406733577875,-87.12267973769103,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/fairmont-mayakoba/4b637126f964a520347a2ae3
El Hongo,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/el-hongo/51f1a678498e56c9a1fa3b14
Agave Azul - Tequila Library,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/agave-azul--tequila-library/4fc018b1e4b014a2d62c6f9a
La Senda,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/la-senda/51392706e4b0984046c0b378
El Gallinero du chocolat,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/el-gallinero-du-chocolat/5451bdfd498e812da951559a
Los Aguachiles,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/los-aguachiles/4bcfc57641b9ef3b982af9e5
Los Aguachiles,20.629907600900054,-87.06947755163121,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/los-aguachiles/4fd271e1e4b03f13ec0fe2a5
Converse,,,From Foursquare list: Mexican Cousin,https://app.foursquare.com/v/converse/4d3b44646de7721e8f0af749
