Name,Latitude,Longitude,Description,Foursquare URL
L'Express,45.52021190645721,-73.5746371962606,From Foursquare list: Montreal,https://app.foursquare.com/v/lexpress/4b369b9cf964a520093925e3
Beautys Luncheonette,,,From Foursquare list: Montreal,https://app.foursquare.com/v/beautys-luncheonette/4ad4c06df964a52085fa20e3
Bagel Etc,45.51915279639373,-73.58393934154194,From Foursquare list: Montreal,https://app.foursquare.com/v/bagel-etc/4adb57f9f964a520352621e3
Marché Atwater,45.480075975036705,-73.5774097543442,From Foursquare list: Montreal,https://app.foursquare.com/v/march%C3%A9-atwater/4ad4c06ff964a52029fb20e3
Olive et Gourmando,45.50126361809617,-73.55636085762237,From Foursquare list: Montreal,https://app.foursquare.com/v/olive-et-gourmando/4adf0b0ef964a5203d7721e3
Réservoir,45.517107435430226,-73.57932751484414,From Foursquare list: Montreal,https://app.foursquare.com/v/r%C3%A9servoir/4ae22438f964a5201e8b21e3
Restaurant Chez Claudette,,,From Foursquare list: Montreal,https://app.foursquare.com/v/restaurant-chez-claudette/4ae8fd4cf964a520ddb321e3
Hvor,,,From Foursquare list: Montreal,https://app.foursquare.com/v/hvor/572bd4eb498e6a2420b00b5a
Lov,,,From Foursquare list: Montreal,https://app.foursquare.com/v/lov/595444821755623db1181406
Larrys,,,From Foursquare list: Montreal,https://app.foursquare.com/v/larrys/56b28f5d498e8af56db1f578
Mount Royal Park (Parc du Mont-Royal),,,From Foursquare list: Montreal,https://app.foursquare.com/v/parc-du-montroyal/4ad8f749f964a520871621e3
Dieu du Ciel,45.52228858110591,-73.59329412576761,From Foursquare list: Montreal,https://app.foursquare.com/v/dieu-du-ciel/4ad4c06bf964a5203df920e3
Au Pied de Cochon,,,From Foursquare list: Montreal,https://app.foursquare.com/v/au-pied-de-cochon/4ad4c06bf964a52046f920e3
St-Viateur Bagel,,,From Foursquare list: Montreal,https://app.foursquare.com/v/stviateur-bagel/4ad4c06ff964a52026fb20e3
Marché Jean-Talon,45.536231627807794,-73.61490403756807,From Foursquare list: Montreal,https://app.foursquare.com/v/march%C3%A9-jeantalon/4adb6d0ef964a520522721e3
Schwartz's Montreal Hebrew Delicatessen (Schwartz's Charcuterie Hébraïque de Montréal),45.51615582830468,-73.57723170657309,From Foursquare list: Montreal,https://app.foursquare.com/v/schwartzs-deli/4ad4c06df964a52073fa20e3
Joe Beef,,,From Foursquare list: Montreal,https://app.foursquare.com/v/joe-beef/4b84801af964a520fd3831e3
Dominion Square Tavern,45.500306417722726,-73.57152936367945,From Foursquare list: Montreal,https://app.foursquare.com/v/dominion-square-tavern/4b59d9f0f964a520e79b28e3
La Banquise,45.52553775080157,-73.57462531643593,From Foursquare list: Montreal,https://app.foursquare.com/v/la-banquise/4adb9549f964a520282921e3
Aux Vivres,45.52118257287185,-73.58863905001071,From Foursquare list: Montreal,https://app.foursquare.com/v/aux-vivres/4ad4c06bf964a5207ff920e3
Boulangerie Guillaume,,,From Foursquare list: Montreal,https://app.foursquare.com/v/boulangerie-guillaume/4c9e26b58afca09389c5fd15
Fairmount Bagel,45.522638850876056,-73.59191657998097,From Foursquare list: Montreal,https://app.foursquare.com/v/fairmount-bagel/4ad4c06ff964a52025fb20e3
Drawn & Quarterly,,,From Foursquare list: Montreal,https://app.foursquare.com/v/drawn--quarterly/4ad4c06ff964a5205ffb20e3
La Panthère Verte,,,From Foursquare list: Montreal,https://app.foursquare.com/v/la-panth%C3%A8re-verte/4b0594bdf964a5206adf22e3
La Panthère Verte,,,From Foursquare list: Montreal,https://app.foursquare.com/v/la-panth%C3%A8re-verte/4ceeb44951785941ad06bd8f
Wilensky's Light Lunch Inc,,,From Foursquare list: Montreal,https://app.foursquare.com/v/wilenskys-light-lunch-inc/4ad4c06df964a52074fa20e3
Le Filet,,,From Foursquare list: Montreal,https://app.foursquare.com/v/le-filet/4d575578c6edf04d5461dca2
Le St-Urbain,,,From Foursquare list: Montreal,https://app.foursquare.com/v/le-sturbain/4b64f7fbf964a520dcdc2ae3
Restaurant Manitoba,45.529002269473885,-73.61650631332586,From Foursquare list: Montreal,https://app.foursquare.com/v/restaurant-manitoba/526ae40b11d247e916951f93
Maison Publique,,,From Foursquare list: Montreal,https://app.foursquare.com/v/maison-publique/506ce4dde4b0652938a308e4
Lili Co.,,,From Foursquare list: Montreal,https://app.foursquare.com/v/lili-co/553ec622498e625bcd4849f7
Agrikol,45.51977319758863,-73.56217113923041,From Foursquare list: Montreal,https://app.foursquare.com/v/agrikol/56ca6d1e498eb620be149640
Le Vin Papillon,45.48278924903998,-73.57547001121374,From Foursquare list: Montreal,https://app.foursquare.com/v/le-vin-papillon/51d36b04498e0485ae7335e3
Arthurs Nosh Bar,,,From Foursquare list: Montreal,https://app.foursquare.com/v/arthurs-nosh-bar/574caba2498e361e33a3b14e
Tsukuyomi Ramen,,,From Foursquare list: Montreal,https://app.foursquare.com/v/tsukuyomi-ramen/5980e816e185f36f5e41774b
Vices & Versa Bistro du Terroir,45.53131377260471,-73.61065228630399,From Foursquare list: Montreal,https://app.foursquare.com/v/vices--versa-bistro-du-terroir/4ad4c06bf964a5205af920e3
Hof Kelsten,45.520429284042166,-73.5870543990006,From Foursquare list: Montreal,https://app.foursquare.com/v/hof-kelsten/5255d7a911d23773b4450521
