Name,Latitude,Longitude,Description,Foursquare URL
Superiority Burger,40.727508014051146,-73.98326980458762,From Foursquare list: NYCVeg,https://app.foursquare.com/v/superiority-burger/549c6881498eaaf3954382f3
Dirt Candy,40.71779266177525,-73.99103470127781,From Foursquare list: NYCVeg,https://app.foursquare.com/v/dirt-candy/49bad154f964a520b5531fe3
Jungle Cafe,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/jungle-cafe/53dd1ead498e9ef3f539fb4e
Avant Garden,40.72562723692831,-73.98416510802596,From Foursquare list: NYCVeg,https://app.foursquare.com/v/avant-garden/55f727d7498ec2e384e5b040
Hangawi,40.746797509288285,-73.98484232195737,From Foursquare list: NYCVeg,https://app.foursquare.com/v/hangawi/3fd66200f964a520b1e91ee3
Ivan Ramen,40.719021857808414,-73.98901459578161,From Foursquare list: NYCVeg,https://app.foursquare.com/v/ivan-ramen/5367ee38498e2d56e7afd777
Ganesh Temple Canteen,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/ganesh-temple-canteen/4d8e2d1c5091a1cddb7d8901
B&H Dairy,40.72834386814433,-73.98790123309466,From Foursquare list: NYCVeg,https://app.foursquare.com/v/bh-dairy/4b2fadfdf964a520e6ed24e3
BCD Tofu House,40.74758915928545,-73.98593274615102,From Foursquare list: NYCVeg,https://app.foursquare.com/v/bcd-tofu-house/517563f9498e0a4859d08fe4
Ladybird,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/ladybird/5790f0d1498e4bea00abf664
Nix,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/nix/56cc7536cd101a34e2815916
Bunna Cafe,40.705014212109674,-73.92813750157262,From Foursquare list: NYCVeg,https://app.foursquare.com/v/bunna-cafe/51e85abb8bbdf64c2727f18b
Champs Diner,40.70833930603779,-73.94070939509452,From Foursquare list: NYCVeg,https://app.foursquare.com/v/champs-diner/4a2048e8f964a520687c1fe3
Modern Love Brooklyn,40.71087745921283,-73.95244242611871,From Foursquare list: NYCVeg,https://app.foursquare.com/v/modern-love-brooklyn/57ddcea8498eec0d30b86391
Angelica Kitchen,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/angelica-kitchen/3fd66200f964a5206ee91ee3
Screamer's Pizzeria,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/screamers-pizzeria/5761f36b498e2f6dca191e23
Sun In Bloom,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/sun-in-bloom/4b5752f9f964a5206d3128e3
Pongal,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/pongal/51d1f204498ea8d2289826e5
Dun-Well Doughnuts,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/dunwell-doughnuts/578fa5ed498e1a21ec56415e
Pine Box Rock Shop,40.705485430575884,-73.9330056191484,From Foursquare list: NYCVeg,https://app.foursquare.com/v/pine-box-rock-shop/4c5f7bddde6920a1a1169464
by CHLOE.,40.72916567689857,-74.00128411316634,From Foursquare list: NYCVeg,https://app.foursquare.com/v/by-chloe/55a682d6498ef469bb1a0add
Franchia Vegan Café,,,From Foursquare list: NYCVeg,https://app.foursquare.com/v/franchia-vegan-caf%C3%A9/4b02f734f964a520814b22e3
