Name,Latitude,Longitude,Description,Foursquare URL
Other Half Brewing Company,40.67349312023461,-73.99910343314372,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/other-half-brewing-company/52eab90a498ee70cbe1ee103
Transmitter Brewing,40.740563114129635,-73.95244242611871,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/transmitter-brewing/5352bfbe498e9b9e93580aa8
Greenpoint Beer and Ale Company,40.76117729228628,-73.97773145663882,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/greenpoint-beer-and-ale-company/5255bd577e483efaefb4809d
Finback Brewery,,,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/finback-brewery/51be14eb50191405dec5b2ad
Threes Brewing,40.67976651417243,-73.98219658278833,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/threes-brewing/5414d0a6498ea3d31a3c64cf
SingleCut Beersmiths,40.778399172902276,-73.90160182106129,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/singlecut-beersmiths/4f68de6bd5fbee32e5f4f3a5
One Mile House,40.720184430444725,-73.99336468290457,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/one-mile-house/4ecd8d36b634dd298e4d0fa9
Kings County Brewers Collective,40.70612147308399,-73.92333815294347,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/kings-county-brewers-collective/56f6cd56cd102dca40d553c9
Brouwerij Lane,40.729860409297345,-73.95783800368375,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/brouwerij-lane/49ea427af964a5203e661fe3
Tørst,40.72356521548448,-73.95069744112548,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/t%C3%B8rst/51394771e4b0b8423e85a43e
Spuyten Duyvil,40.714185550425526,-73.95550759186686,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/spuyten-duyvil/40807380f964a52080f21ee3
Blind Tiger,40.73181366591254,-74.00321227270925,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/blind-tiger/3fd66200f964a520dbea1ee3
Proletariat,40.72723527700851,-73.98461275818035,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/proletariat/4f9f2577c2eea55dddf4b9e1
Good Beer NYC,40.72741514768352,-73.98397571726198,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/good-beer-nyc/4cb34b64aef16dcb6287c754
Zum Schneider,40.72429100324975,-73.97873009282702,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/zum-schneider/3fd66200f964a52022e51ee3
The Pony Bar,,,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/the-pony-bar/49f8f8a2f964a520446d1fe3
Beer Culture,40.75979403609815,-73.98949666834338,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/beer-culture/51eb44f8498e718fe6450886
Rattle N Hum,40.747361077969174,-73.9843258030732,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/rattle-n-hum-east/48e0bd97f964a5201a521fe3
Swift Hibernian Lounge,40.727343095401146,-73.99210787367122,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/swift-hibernian-lounge/3fd66200f964a520c0e41ee3
The Well,40.70820503013968,-73.93742585590962,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/the-well/4fcf83db4fc6ada5874dcc46
Jimmy's No. 43,40.72843588581704,-73.98854973895021,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/jimmys-no-43/4544401ff964a520623c1fe3
Bohemian Hall & Beer Garden,40.77305250152452,-73.91589778008067,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/bohemian-hall--beer-garden/3fd66200f964a52008f11ee3
Alewife Taproom,40.742252971342275,-73.9560127081457,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/alewife-taproom/4e20589f483b041af1e0fa98
Fools Gold NYC,40.72127469207373,-73.9886300846559,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/fools-gold-nyc/51e9aeae498eb74ca88c5133
The Ginger Man,40.74938820231514,-73.98297136918099,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/the-ginger-man/3fd66200f964a520a7e31ee3
Milk & Hops,40.73132672616768,-73.99174632428418,From Foursquare list: NYC Beerstuffs,https://app.foursquare.com/v/milk--hops/54f8bcdf498eeb0d25b1d6f1
