Name,Latitude,Longitude,Description,Foursquare URL
Hatch Show Print,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/hatch-show-print/4b2d121ef964a520a0cd24e3
The Station Inn,36.15248302194168,-86.78460261930627,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/the-station-inn/4b05866af964a5202f6122e3
Arnold's Country Kitchen,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/arnolds-country-kitchen/4b05866df964a520b36122e3
The Patterson House,36.15128165153389,-86.79437097703253,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/the-patterson-house/4afe0a01f964a5204d2d22e3
Flying Saucer,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/flying-saucer/4b06b040f964a520a6ee22e3
Hops & Crafts,36.15290627449759,-86.78497553078478,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/hops--crafts/51d446bd454ac6162516ef21
Husk Nashville,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/husk-nashville/5192b368454a462eda13881a
Peg Leg Porker,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/peg-leg-porker/519ff283498e55760b17f94b
Mitchell Delicatessen,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/mitchell-delicatessen/4b077042f964a52097fd22e3
Mas Tacos Por Favor,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/mas-tacos-por-favor/4c4f1d49db2c20a1fd608575
Pancake Pantry,36.137162080928285,-86.80062052095644,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/pancake-pantry/4b147d01f964a520c7a323e3
Pinewood Social,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/pinewood-social/52969e4911d26f8a7299ccce
The Pharmacy Burger Parlor & Beer Garden,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/the-pharmacy-burger-parlor--beer-garden/4ed82d9e6c2547bc5ffc0a21
Yazoo Brewing Company,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/yazoo-brewing-company/4b09f68ef964a520792023e3
Southern Grist Brewing Company | East Nashville/Lauter,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/southern-grist-brewing-company--east-nashvillelauter/56369348498ec77283f6c1c7
Jackalope Brewing Company,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/jackalope-brewing-company/4daa0ac66a2303012f04f1e5
Corsair Distillery & Taproom,,,From Foursquare list: Nash... vegas?,https://app.foursquare.com/v/corsair-distillery--taproom/4bbe5e6885fbb71344aa7067
