Name,Latitude,Longitude,Description,Foursquare URL
Le Petit Canard,48.87997557603724,2.337389250420927,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-petit-canard/4b6c86f1f964a520ea402ce3
Bouillon Pigalle,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/bouillon-pigalle/5a0ee811ad17897b990dabf9
Bar à Bulles,48.88445927860599,2.332139712935543,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/bar-%C3%A0-bulles/552bcfc4498e003e2da33ad0
La Boîte aux Lettres,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-bo%C3%AEte-aux-lettres/51c5f55d498e59e2ebcc7742
Buvette Paris,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/buvette-paris/52355d9b11d2d8b38bc84f2b
Le Village,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-village/4b93b98ff964a520a14e34e3
Pâtisserie Boulangerie Liberté,48.87310694249232,2.3614780251393768,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/p%C3%A2tisserie-boulangerie-libert%C3%A9/529a070211d2dd104e654b40
La Trésorerie,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-tr%C3%A9sorerie/533854a0498e13d848afa29f
E. Dehillerin,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/e-dehillerin/4b33781ef964a520ad1925e3
Merci,48.85705415813413,2.365699038979119,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/merci/4b20ecccf964a520653524e3
Marché des Enfants Rouges,48.86294477457276,2.362082156437379,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/march%C3%A9-des-enfants-rouges/4b75734cf964a5202c0d2ee3
Librairie du Palais de Tokyo,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/librairie-du-palais-de-tokyo/4c1cce228b3aa5935865995f
Grand Palais,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/grand-palais/4c25f508a852c9281ab1e56c
Louvre Museum (Musée du Louvre),48.861122245338244,2.335627948461905,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/mus%C3%A9e-du-louvre/4adcda10f964a520af3521e3
Buffet,48.85166951350535,2.3782141967939037,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/buffet/5a3c142d18d43b4d32cee39d
Ladurée,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/ladur%C3%A9e/4b0b4dfff964a520283023e3
Ladurée,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/ladur%C3%A9e/4bc5e23151b376b0ce8e1a6f
Bistrot des Dames,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/bistrot-des-dames/4b4c44dff964a5204cb026e3
La Pointe du Grouin,48.87936207623131,2.3523562215106764,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-pointe-du-grouin/517a4cafe4b05c1a0ada69e6
Richer,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/richer/4ba757f7f964a520e18c39e3
Frenchie,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/frenchie/4b7d9611f964a5204cc82fe3
Le Petit Vendôme,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-petit-vend%C3%B4me/4b4db23ff964a520dad526e3
La Quincave,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-quincave/4be1d15aae55a59314a85b62
Le Comptoir du Relais,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-comptoir-du-relais/4b27d2fff964a520a48a24e3
Au Passage,48.861596408275375,2.368862379542007,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/au-passage/4b859427f964a520a96631e3
Berthillon,48.85205020556234,2.35675079169911,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/berthillon/4adcda04f964a520293221e3
Le Baratin,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-baratin/4adcda14f964a5203c3721e3
Mama Shelter Paris East,48.859952794114896,2.4025137408298933,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/mama-shelter-paris-east/4afdc6cdf964a520c02a22e3
Le Bon Marché,48.85091703745946,2.324589804438504,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-bon-march%C3%A9/4b2e385bf964a52067dd24e3
Frenchie to Go,48.86773363049822,2.3476307122091695,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/frenchie-to-go/51a70e3b498eaaf621340fc0
Fleux,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/fleux/4b533b45f964a520509327e3
Ten Belles,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/ten-belles/504376bee4b07ecdeae36c9b
Galeries Lafayette Gourmet,48.87317570454047,2.3302241244373363,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/galeries-lafayette-gourmet/4b673be3f964a520e5422be3
Clamato,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/clamato/527d495611d201ce6ba8fb48
La Pâtisserie by Cyril Lignac,48.852820860210706,2.38532439926796,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-p%C3%A2tisserie-by-cyril-lignac/4ed241b98231b9ef8ac69d56
L'As du Fallafel,48.8594871200213,2.355869678383691,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/las-du-fallafel/4b867a97f964a520e48b31e3
Ober Mamma,48.86453103657267,2.370585052879341,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/ober-mamma/5581ba79498e2d654886dbad
East Mamma,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/east-mamma/55199c44498ed951dcccdda3
Parc de la Villette,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/parc-de-la-villette/4adcda0af964a520203421e3
La Vaissellerie,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-vaissellerie/4c471689417b20a18267dca9
Cave à Bulles,48.86154531483376,2.3508958894066616,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/cave-%C3%A0-bulles/4adcda21f964a520ee3921e3
Ma Cave Fleury,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/ma-cave-fleury/4b894a17f964a520de2832e3
Lafont,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/lafont/4ce7f3e58ef78cfae8e7969b
Loustic,48.863805340675015,2.354849962018465,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/loustic/5149c2738aca0ead6a573ce5
Comme à Lisbonne,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/comme-%C3%A0-lisbonne/4e0757e96284d9ee92d4b1ca
Fromagerie Jouannault,48.86296972272014,2.362545553386004,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/fromagerie-jouannault/4d04b6d6dc45a09314b6ebc6
Deyrolle,48.85646858986711,2.326487606954684,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/deyrolle/4adcda0cf964a520f93421e3
Caffè Stern,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/caff%C3%A8-stern/5410a4a4498e239549b06f4f
Le Pavillon des Canaux,48.88777474972447,2.3787298730470976,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-pavillon-des-canaux/5318cff6498e7b5d95c75fbe
Candelaria,48.862933060387974,2.3643383938637443,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/candelaria/4d77b39caf63cbff3997be0f
Experimental Cocktail Club,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/experimental-cocktail-club/4b181e1cf964a5203acd23e3
La Grande Épicerie de Paris,48.85036888468203,2.32397992847878,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-grande-%C3%A9picerie-de-paris/4adcda21f964a520fc3921e3
Le Barav,48.864968718984244,2.362898757778898,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-barav/4b68a117f964a520c8832be3
BREIZH Café | La Crêpe Autrement,48.86053720388991,2.3617554223586503,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/breizh-caf%C3%A9--la-cr%C3%AApe-autrement/4b003268f964a520673b22e3
Shakespeare and Company,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/shakespeare-and-company/4adcda21f964a520f23921e3
Parc des Buttes-Chaumont,48.87607817944935,2.3811020778697256,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/parc-des-butteschaumont/4adcda09f964a520113421e3
Ave Maria,48.86452479882962,2.3730455314971244,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/ave-maria/4adcda08f964a520883321e3
Il Brigante,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/il-brigante/500869d1e4b04413bea72f6a
Septime,48.85299979394042,2.3790286774801266,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/septime/4dc1490a22713750ba78c198
La Machine du Moulin Rouge,48.88366964553137,2.332025371434253,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-machine-du-moulin-rouge/4babcc3df964a52062ca3ae3
Au P'tit Grec,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/au-ptit-grec/4bca09f70687ef3ba719dbcc
Pen Ty,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/pen-ty/4b7fd1e8f964a520333f30e3
Le Moulin de la Vierge,48.86636149904308,2.341093388339185,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/le-moulin-de-la-vierge/527e3948498e3c991897db98
La REcyclerie,48.897548668574196,2.3436409382609478,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/la-recyclerie/51acb88f8bbd1eaae07a2b70
KIEZ Biergarten Parisien,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/kiez-biergarten-parisien/5373d8cb498ee7d5aeceaeb1
Comestibles & Marchand de Vins,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/comestibles--marchand-de-vins/51eaf458498e71cde524700b
L'Avant Comptoir de la Terre,,,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/lavant-comptoir-de-la-terre/4afd8300f964a5203a2822e3
Musée du Quai Branly – Jacques Chirac,48.86063376966948,2.2967025337228755,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/mus%C3%A9e-du-quai-branly--jacques-chirac/4adcda10f964a520ae3521e3
Il Posto,48.87395384746086,2.386332268504984,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/il-posto/5471f9b3498e6e2065dc3ad4
Slow Galerie,48.864867099772766,2.366663670373081,From Foursquare list: Pah-rhis,https://app.foursquare.com/v/slow-galerie/53419ec4498edb19c32efa26
