Name,Latitude,Longitude,Description,Foursquare URL
Angelo’s Pizzeria,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/angelos-pizzeria/5c3e7d82947c050038d9b6d0
Doobie's,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/doobies/40b28c80f964a520b5fa1ee3
Bar Hygge,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/bar-hygge/56685a49498e3021a9d236a8
Famous 4th Street Delicatessen,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/famous-4th-street-delicatessen/49ffbe66f964a52049701fe3
Writer's Block Rehab,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/writers-block-rehab/5861fd45727ba373f25c80d5
The Trestle Inn,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/the-trestle-inn/4b5bb9a2f964a520721229e3
Charlie was a sinner.,39.94964392976561,-75.16200261067809,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/charlie-was-a-sinner/53757808498ee116741e16a6
Hop Sing Laundromat,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/hop-sing-laundromat/4e8e413f29c2c0d8cd1b28c9
South Philly Barbacoa,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/south-philly-barbacoa/5ac401b6029a5521b5bd0251
El Compadre,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/el-compadre/5775c3c9498e5c2285fc1301
Saté Kampar,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/sat%C3%A9-kampar/56bfb2e0cd1013abe28e3c85
Nick's Old Original Roast Beef,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/nicks-old-original-roast-beef/4b1d8a7ef964a520ed1124e3
The Rail Park,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/the-rail-park/53a2f887498e44fe55ae50b0
Royal Boucherie,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/royal-boucherie/5a07d1a4db1d816f163bd614
The Bourse,,,From Foursquare list: Philthydelphia,https://app.foursquare.com/v/the-bourse/4b96ece8f964a5202fee34e3
