Name,Latitude,Longitude,Description,Foursquare URL
NY Pizza Suprema,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/ny-pizza-suprema/4a639f9ff964a52077c51fe3
Motorino Pizza,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/motorino-pizza/4aaec606f964a5203d6320e3
Joe's Pizza,40.73071170025031,-74.00173746194788,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/joes-pizza/45ebc982f964a52091431fe3
Prince Street Pizza,40.72290728802332,-73.99455835710656,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/prince-street-pizza/4f045eeb00399761c77301e3
John's of Bleecker Street,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/johns-of-bleecker-street/43b9adf1f964a520e22c1fe3
Posto,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/posto/43c4bb46f964a5205a2d1fe3
Arturo's Restaurant,40.727304624130134,-74.00054957108993,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/arturos-restaurant/3fd66200f964a5209ae31ee3
Speedy Romeo LES,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/speedy-romeo-les/56cf3493cd106ae44d0c76a8
Grandaisy Bakery,40.7244234707469,-74.004469009099,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/grandaisy-bakery/4a01e214f964a52005711fe3
Bruno Pizza,40.73250318302235,-73.98735028834558,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/bruno-pizza/55b1705d498ea8d64d53aab9
Patsy's Pizzeria,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/patsys-pizzeria/46615a4ff964a52064471fe3
Di Fara Pizza,40.6250664324979,-73.96132782886322,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/di-fara-pizza/40be6a00f964a520c4001fe3
Roberta's,40.70506101780298,-73.93355097848436,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/robertas/47e100b9f964a520414e1fe3
Milkflower,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/milkflower/51831cbf498e954462363bd3
L&B Spumoni Gardens,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/lb-spumoni-gardens/49d006ccf964a520f85a1fe3
Vinnie's Pizzeria,40.71885301516883,-73.95659244224635,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/vinnies-pizzeria/3fd66200f964a52056ee1ee3
Lucali,40.68182869632106,-74.0007217296419,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/lucali/45d5c6e2f964a520cb421fe3
Best Pizza,40.715480742912305,-73.95388891489158,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/best-pizza/4ca36504d5a2a143def14890
Totonno's,,,From Foursquare list: Pizza places of the New York City Metro Area,https://app.foursquare.com/v/totonnos/45e82773f964a52066431fe3
