Name,Latitude,Longitude,Description,Foursquare URL
Bollywood Theater,45.559207067917136,-122.64411425055279,From Foursquare list: Portlandia,https://app.foursquare.com/v/bollywood-theater/4f5ac839e4b0cfc5e03e4db2
Farm Spirit,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/farm-spirit/558f5485498e71847244615b
Breakside Brerwery - NE Dekum,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/breakside-brerwery--ne-dekum/4bf05a14393fc9b6dcb3012b
XLB,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/xlb/587c4997cf11d445df01ecab
Harlow,45.51204136198103,-122.62623500471862,From Foursquare list: Portlandia,https://app.foursquare.com/v/harlow/51b5f032498ebff258987dd9
Kayo's Ramen Bar,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/kayos-ramen-bar/57410985498e33efb7e381b3
Langbaan,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/langbaan/53309137498e65090b88f292
Danwei Canting,45.51941415364566,-122.65743190537187,From Foursquare list: Portlandia,https://app.foursquare.com/v/danwei-canting/57a98a94498e0e6e6dbc1ff0
Bailey's Taproom,45.52256058538205,-122.67800089065443,From Foursquare list: Portlandia,https://app.foursquare.com/v/baileys-taproom/483691cff964a520ec4f1fe3
Pok Pok,45.50491344030298,-122.63214336440117,From Foursquare list: Portlandia,https://app.foursquare.com/v/pok-pok/4a56da31f964a520d2b51fe3
Stumptown Coffee Roasters,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/stumptown-coffee-roasters/49c2e861f964a5203f561fe3
Powell's City of Books,45.52316530949122,-122.68231506891986,From Foursquare list: Portlandia,https://app.foursquare.com/v/powells-city-of-books/4a06431ff964a520dc721fe3
Multnomah Whiskey Library,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/multnomah-whiskey-library/524e431811d23b91f94de720
Doug Fir Lounge,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/doug-fir-lounge/43ba6040f964a520e62c1fe3
Pine State Biscuits,45.559017685685156,-122.64268311739504,From Foursquare list: Portlandia,https://app.foursquare.com/v/pine-state-biscuits/4c38a007dfb0e21efbdeaea8
Coava Coffee Roasters Cafe,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/coava-coffee-roasters-cafe/4beb2649b3352d7f2f1b56d2
The BeerMongers,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/the-beermongers/4ac6769df964a52075b420e3
Bröder Cafe,45.50328502485947,-122.64010000908793,From Foursquare list: Portlandia,https://app.foursquare.com/v/br%C3%B6der-cafe/4a3565f5f964a520ef9c1fe3
Imperial Bottle Shop & Taproom,45.50472839115164,-122.63382800504327,From Foursquare list: Portlandia,https://app.foursquare.com/v/imperial-bottle-shop--taproom/51f0783d498efb97009377e2
Hopworks Urban Brewery,,,From Foursquare list: Portlandia,https://app.foursquare.com/v/hopworks-urban-brewery/49e18376f964a520d6611fe3
Toro Bravo,45.540753131114414,-122.66345384534,From Foursquare list: Portlandia,https://app.foursquare.com/v/toro-bravo/4a2b0c97f964a52092961fe3
