Name,Latitude,Longitude,Description,Foursquare URL
Kura,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/kura/510c85e7e4b0056826b88297
Yellow Rose,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/yellow-rose/5fac42251d30e703a2a2a18c
Wo Hop,40.71557985919302,-73.9988853637759,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/wo-hop/3fd66200f964a52037e31ee3
Rowdy Rooster,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/rowdy-rooster/621582e7c66e5d55b0818983
Etérea,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/et%C3%A9rea/6089ea3d481fbb10397cfde9
Proletariat,40.72723527700851,-73.98461275818035,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/proletariat/4f9f2577c2eea55dddf4b9e1
Good Beer NYC,40.72741514768352,-73.98397571726198,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/good-beer-nyc/4cb34b64aef16dcb6287c754
Nudibranch,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/nudibranch/622e30a2a809946cfd7bd12b
Wildair,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/wildair/556b8dc2498eb674c015c301
Sidney's Five,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/sidneys-five/60aba48da80a9e0fe9ba2e7f
Cadence,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/cadence/60666017a22ca310624728d7
Saigon Social,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/saigon-social/5e61a124f3bac00008ea048e
Milu,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/milu/5f8f4321094d0d6876179d8c
Bronx Brewery,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/bronx-brewery/61fc4ae83a94d260c75ff3b7
Torch & Crown Brewing Company,40.726196934389364,-74.00417634519744,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/torch--crown-brewing-company/5e88c7acb223d800080dce56
Sugarfish,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/sugarfish/581a10901df6b32e66ec3a07
Hangawi,40.746797509288285,-73.98484232195737,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/hangawi/3fd66200f964a520b1e91ee3
Rezdôra,40.7331538128416,-73.99101748455946,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/rezd%C3%B4ra/5cc3adaa838e59002cb4629d
Thyme Bar,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/thyme-bar/5e45ef45c63c7800088d358e
Cote,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/cote/591cdaf26f0aa22c76a53ff3
Wan Wan,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/wan-wan/626b0f9eb842314d082fb2a1
Comodo,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/comodo/6175d46a23636802143ccac3
LittleMad,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/littlemad/60bc4b4c1bfd523928af20e0
Fiaschetteria Pistoia,,,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/fiaschetteria-pistoia/589a66b251666a5ffadde9ea
Hanoi House,40.726878041996464,-73.98366006557374,From Foursquare list: Quick NYC Trip Revolving Map,https://app.foursquare.com/v/hanoi-house/58498a94f68d8d67be8e893c
