Name,Latitude,Longitude,Description,Foursquare URL
Ramiro's Taco Shop,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/ramiros-taco-shop/4be76428910020a1946bd514
Oscar's Mexican Seafood,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/oscars-mexican-seafood/4e3cb55ed4c058f9dbfc3793
Kindred,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/kindred/5675f355498e98ce8b9f4713
The US Grant Hotel,32.715945385966556,-117.16170247444991,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/the-us-grant-hotel/4a5d5b65f964a52094bd1fe3
Hillcrest Farmers Market,32.74818014746718,-117.14959407944019,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/hillcrest-farmers-market/4a3ef99ff964a5209da31fe3
San Diego Zoo,32.735414719049736,-117.14869798383263,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/san-diego-zoo/4a369f12f964a520c19d1fe3
Balboa Park,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/balboa-park/4bfdbadbe529c9284e67bb8c
Noble Experiment,32.71251692993336,-117.15741177307163,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/noble-experiment/4b764958f964a520ba462ee3
Phil's BBQ,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/phils-bbq/460d2cfcf964a52002451fe3
Carnitas' Snack Shack,32.74856279359395,-117.13559501095642,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/carnitas-snack-shack/4de062a2fa76425c5418aae6
Ballast Point Brewing & Spirits,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/ballast-point-brewing--spirits/43f5ea04f964a520a62f1fe3
Bine & Vine Bottle Shop,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/bine--vine-bottle-shop/4f7fbb90be77bf5b126250e5
Ballast Point Brewing Miramar,32.88732525524927,-117.15791724189505,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/ballast-point-brewing-miramar/5331de18498e7b294de023a9
Modern Times Beer,32.753995881017644,-117.20609761188857,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/modern-times-beer/515dc2fff31cfd25572eea72
Neighborhood,32.71258786193662,-117.1574577248344,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/neighborhood/46c1c912f964a520f2491fe3
Stone Brewing World Bistro & Gardens - Liberty Station,32.74026421723218,-117.21210428254543,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/stone-brewing-world-bistro--gardens--liberty-station/4fa5a105e4b0fed48200ea41
Green Flash Brewing Company,32.907246882638475,-117.17764103873753,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/green-flash-brewing-company/4d6330661a83f04d8413712b
Alpine Beer Company,32.835043502677415,-116.762619269308,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/alpine-beer-company/4c5f4a56cd522d7f27c1cb3f
Port Brewing Co / The Lost Abbey,33.141610165781685,-117.14927814874325,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/port-brewing-co--the-lost-abbey/4b297a1ff964a5208b9f24e3
Downtown Johnny Brown's,32.71804397348711,-117.16283400989484,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/downtown-johnny-browns/40e0b100f964a5200d021fe3
Pizza Port Brewing Company,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/pizza-port-brewing-company/4bcf3837046076b02cdc6d71
Best Damn Beer Shop,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/best-damn-beer-shop/4b6b9586f964a52034112ce3
Tacos El Gordo De Tijuana,32.63032558130093,-117.09337950328789,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/tacos-el-gordo-de-tijuana/4b159cdbf964a52024b123e3
Tacos El Gordo,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/tacos-el-gordo/4b159d17f964a52029b123e3
Monkey Paw Pub & Brewery,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/monkey-paw-pub--brewery/4e010c21922ecbc92f4a62d4
Turf Supper Club,32.716372373780025,-117.14037444730265,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/turf-supper-club/40e0b100f964a520d5021fe3
North Park Flavordome,32.74157449532508,-117.12989630705883,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/north-park-flavordome/536add8e11d21c7853ef0883
Panama 66,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/panama-66/53bd89e1498e3329fccedb8d
Double Standard Kitchenette,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/double-standard-kitchenette/548a71d9498e439cbf8386ba
OB Noodle House & Sake Bar,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/ob-noodle-house--sake-bar/4cdc8190a1bba35dc1d69ae5
Pho La Jolla,32.86986278616778,-117.23367744325888,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/pho-la-jolla/4af2438af964a520fde621e3
Caffé Calabria,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/caff%C3%A9-calabria/44b1b2d5f964a52037351fe3
Bird Rock Coffee Roasters,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/bird-rock-coffee-roasters/4a947bf6f964a520bf2120e3
Bottlecraft Beer Shop,32.748399286581844,-117.1296435383114,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/bottlecraft-beer-shop/50f1987ae4b0b20f586b28b1
Bns Brewing And Distilling Co.,32.84631825466005,-116.95847730573752,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/bns-brewing-and-distilling-co/51aa93cc498e6e87c292bd59
Twisted Manzanita Ales & Spirits,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/twisted-manzanita-ales--spirits/4c38cbcf0a71c9b6395841c9
Las Cuatro Milpas,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/las-cuatro-milpas/4ac7c1e0f964a52094b920e3
Pokez Mexican Restaurant,32.71462555768579,-117.15583217495936,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/pokez-mexican-restaurant/44e07ae1f964a520fa361fe3
Underbelly,32.724162146910466,-117.16958862935618,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/underbelly/4eb747799adfc68713333bbd
Ballast Point Tasting Room & Kitchen,32.72753423558775,-117.16985283612682,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/ballast-point-tasting-room--kitchen/5187e02b498e51f783bac1ea
Influx Café,32.70745093923326,-117.1612774290624,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/influx-caf%C3%A9/4b9ec0fbf964a5201aff36e3
Bird Rock Coffee Roasters,32.72798735624081,-117.17105899313202,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/bird-rock-coffee-roasters/5449a66a498e6e9c0e7aaacb
Bottlecraft Beer Shop & Tasting Room,32.7280351271401,-117.17011129894155,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/bottlecraft-beer-shop--tasting-room/4de1764645dd180ae52f5d3a
Fall Brewing Company,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/fall-brewing-company/53af5ac7498ec433ee926b84
Rip Current Brewing,32.752292532591504,-117.13008013868017,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/rip-current-brewing/54b30e17498e563854d910e4
Mike Hess Brewing,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/mike-hess-brewing/4f9b0c8de4b04dce4408e280
The Pearl Hotel,,,From Foursquare list: San Diego Zoological Checklist,https://app.foursquare.com/v/the-pearl-hotel/47f62749f964a520a74e1fe3
