Name,Latitude,Longitude,Description,Foursquare URL
Big 4 Restaurant,37.79142869177516,-122.41260066334627,From Foursquare list: San Fransisker,https://app.foursquare.com/v/big-4-restaurant/44f72e06f964a5204b381fe3
Tonga Room & Hurricane Bar,37.79220095362344,-122.409680283342,From Foursquare list: San Fransisker,https://app.foursquare.com/v/tonga-room--hurricane-bar/3fd66200f964a52031f11ee3
State Bird Provisions,37.783913062615355,-122.43283091450591,From Foursquare list: San Fransisker,https://app.foursquare.com/v/state-bird-provisions/4ef52a378231b0d6238dd471
Swan Oyster Depot,37.79083184441767,-122.4208801630339,From Foursquare list: San Fransisker,https://app.foursquare.com/v/swan-oyster-depot/44d1ef97f964a52031361fe3
Kin Khao,37.78523865476351,-122.40918801432605,From Foursquare list: San Fransisker,https://app.foursquare.com/v/kin-khao/52e20b3311d241e331b41f31
Mr. Bing's,37.79719427384452,-122.40572547274216,From Foursquare list: San Fransisker,https://app.foursquare.com/v/mr-bings/41f43a80f964a520221f1fe3
Mario's Bohemian Cigar Store Cafe,37.80026093931099,-122.40980749855548,From Foursquare list: San Fransisker,https://app.foursquare.com/v/marios-bohemian-cigar-store-cafe/49f264f8f964a520286a1fe3
Tommy's Mexican Restaurant,37.78002236433156,-122.48319048001578,From Foursquare list: San Fransisker,https://app.foursquare.com/v/tommys-mexican-restaurant/3fd66200f964a520a3ec1ee3
Toronado,37.7718250150985,-122.43121617709419,From Foursquare list: San Fransisker,https://app.foursquare.com/v/toronado/3fd66200f964a5205ded1ee3
Churchill,37.76778775255526,-122.42898757744055,From Foursquare list: San Fransisker,https://app.foursquare.com/v/churchill/4dcadbd6814d4ffbdab77b51
Hideout,37.7646051493135,-122.4223291466296,From Foursquare list: San Fransisker,https://app.foursquare.com/v/hideout/4b2c520df964a520cdc524e3
Mission Chinese Food,37.760317458977774,-122.41911038494952,From Foursquare list: San Fransisker,https://app.foursquare.com/v/mission-chinese-food/4c325dd83896e21e6d6ee890
Zeitgeist,37.770200457254,-122.42220194658034,From Foursquare list: San Fransisker,https://app.foursquare.com/v/zeitgeist/3fd66200f964a52041ee1ee3
Bourbon & Branch,37.785860190829155,-122.41315928739509,From Foursquare list: San Fransisker,https://app.foursquare.com/v/bourbon--branch/4617e746f964a52051451fe3
Buena Vista Cafe,37.80614809341783,-122.42052067927472,From Foursquare list: San Fransisker,https://app.foursquare.com/v/buena-vista-cafe/45487bc1f964a520833c1fe3
Mikkeller Bar SF,37.78393570092244,-122.40930969901642,From Foursquare list: San Fransisker,https://app.foursquare.com/v/mikkeller-bar-sf/511c234119a980d7108a70b9
The Trappist,37.80044764476594,-122.27409789460116,From Foursquare list: San Fransisker,https://app.foursquare.com/v/the-trappist/4792385cf964a520524d1fe3
Ramen Shop,37.84644873883814,-122.25180987140826,From Foursquare list: San Fransisker,https://app.foursquare.com/v/ramen-shop/50d675d1e4b047bb04184422
The Hog's Apothecary,37.828072898186214,-122.25896647432036,From Foursquare list: San Fransisker,https://app.foursquare.com/v/the-hogs-apothecary/51aa8258498e6e87c2039ac8
City Beer Store,37.775569510545665,-122.40959731681546,From Foursquare list: San Fransisker,https://app.foursquare.com/v/city-beer-store/45587735f964a520443d1fe3
California Academy of Sciences,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/california-academy-of-sciences/49cc413df964a5205a591fe3
The Royal Cuckoo,37.74540537505657,-122.42006164437761,From Foursquare list: San Fransisker,https://app.foursquare.com/v/the-royal-cuckoo/4d1c224a7e10a35d580bfd82
Amoeba San Francisco,37.76950523442378,-122.45269236172578,From Foursquare list: San Fransisker,https://app.foursquare.com/v/amoeba-san-francisco/3fd66200f964a52057ed1ee3
Chez Panisse,37.87962087223378,-122.26896940362262,From Foursquare list: San Fransisker,https://app.foursquare.com/v/chez-panisse/40de0e00f964a5208e011fe3
Cowgirl Creamery at Pt Reyes Station,38.06831169062463,-122.8072291463187,From Foursquare list: San Fransisker,https://app.foursquare.com/v/cowgirl-creamery-at-pt-reyes-station/4aee13e1f964a520e2d121e3
Nature Friends Tourist Club San Francisco,37.89832936022071,-122.57005869029699,From Foursquare list: San Fransisker,https://app.foursquare.com/v/nature-friends-tourist-club-san-francisco/49ef6845f964a520b0681fe3
Outerlands,37.76029786997035,-122.50505939316835,From Foursquare list: San Fransisker,https://app.foursquare.com/v/outerlands/4a354111f964a520ad9c1fe3
Monk’s Kettle,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/monks-kettle/47d7ba05f964a520234e1fe3
Woods Cervecería,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/woods-cervecer%C3%ADa/4f7ba94ce4b06978a72ee52c
Blue Bottle Coffee,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/blue-bottle-coffee/49ca8f4df964a520b9581fe3
Sightglass Coffee,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/sightglass-coffee/4a4b8a43f964a5206fac1fe3
Sightglass Coffee,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/sightglass-coffee/530a187e498eb0cfd40890a0
Coffee Bar,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/coffee-bar/47fde9f4f964a520df4e1fe3
La Taqueria,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/la-taqueria/455877bff964a520453d1fe3
Taqueria Cancún,37.76045430561299,-122.41927077231756,From Foursquare list: San Fransisker,https://app.foursquare.com/v/taqueria-canc%C3%BAn/43e879cbf964a5200f2f1fe3
Ike’s Place,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/ikes-place/4da23ee19935a093c9b8b16f
Lucca Delicatessen,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/lucca-delicatessen/4a620c4df964a520e7c21fe3
Rhea's Market & Deli,37.75997834957983,-122.42127282850281,From Foursquare list: San Fransisker,https://app.foursquare.com/v/rheas-market--deli/4a888cbff964a520dc0620e3
Magnolia Gastropub & Brewery,37.77036553090749,-122.44539404922234,From Foursquare list: San Fransisker,https://app.foursquare.com/v/magnolia-gastropub--brewery/3fd66200f964a52066ed1ee3
Beer Revolution,37.79715331309368,-122.2762522301951,From Foursquare list: San Fransisker,https://app.foursquare.com/v/beer-revolution/4b318256f964a520300825e3
Dosa,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/dosa/4aff8b4af964a520663922e3
Slanted Door,,,From Foursquare list: San Fransisker,https://app.foursquare.com/v/slanted-door/3fd66200f964a52018ed1ee3
Temescal Brewing,37.78496154478163,-122.40698660332863,From Foursquare list: San Fransisker,https://app.foursquare.com/v/temescal-brewing/55d7ca6b498e5e695486ae31
