Name,Latitude,Longitude,Description,Foursquare URL
Paloma Restaurant,35.68496689614104,-105.94556664605044,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/paloma-restaurant/5994fa061acf1170ca6bb5ad
Second Street Brewery on the Railyard,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/second-street-brewery-on-the-railyard/4bd3ab45462cb7137314df07
Casa Chimayo Restaurante,35.69024826913616,-105.94000757609854,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/casa-chimayo-restaurante/51ddbea7498e2b87946c16d7
Meow Wolf,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/meow-wolf/56edee2a498e5769581aa74d
Santa Fe Plaza,35.68740877758641,-105.93805132712546,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/santa-fe-plaza/4bbcdbc1a0a0c9b6a6e51a0f
La Choza Restaurant,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/la-choza-restaurant/4bbe2121eeca95219a0b4df1
The Pantry,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/the-pantry/4b3b7519f964a520287425e3
Collected Works Bookstore,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/collected-works-bookstore/4b64b68ff964a5206eca2ae3
The Shed,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/the-shed/4b16e601f964a52028bf23e3
Georgia O'Keeffe Museum,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/georgia-okeeffe-museum/4b46720df964a520342126e3
Secreto,35.68627865339697,-105.93975515574073,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/secreto/4bc8f6350687ef3b880bd9cc
Rowley Farmhouse Ales,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/rowley-farmhouse-ales/56762221498e8c399a670760
Cheesemongers of Santa Fe,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/cheesemongers-of-santa-fe/5525535b498e5f1553b88d29
The Matador,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/the-matador/4b47f578f964a520244526e3
Cafe Pasqual's,35.68657683070884,-105.93970352434533,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/cafe-pasquals/4b3a3f3df964a520e96225e3
Leaf & Hive Brew Lab,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/leaf--hive-brew-lab/5cab9a33666116002c94bc33
"La Posada de Santa Fe, a Tribute Portfolio Resort & Spa",35.68539390272763,-105.93245805816602,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/la-posada-de-santa-fe-a-tribute-portfolio-resort--spa/4bc4175edce4eee1b6ee719d
Tumbleroot Brewery & Distillery,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/tumbleroot-brewery--distillery/5af8b278a0215b002cf7434d
Tune-Up Cafe,35.681237911874916,-105.95866466549786,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/tuneup-cafe/4b0db342f964a520334e23e3
Izanami,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/izanami/527a8e5311d2afc1ab6d0f11
Del Charro,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/del-charro/4bdb5d143904a59354074a9e
Shake Foundation,,,From Foursquare list: Santa Fe Meow Wolves,https://app.foursquare.com/v/shake-foundation/52c86c52498ef93de193754b
