Name,Latitude,Longitude,Description,Foursquare URL
Dick's Drive-In,47.619264164290435,-122.32106514192184,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/dicks-drivein/435ec700f964a52022291fe3
Piroshky Piroshky,47.60986780457872,-122.34240633144944,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/piroshky-piroshky/49ee65a3f964a52058681fe3
The Fremont Troll,47.62068432627442,-122.34946943245761,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/the-fremont-troll/49de874bf964a5206c601fe3
Optimism Brewing Company,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/optimism-brewing-company/55caba3a498e5e44306adf98
Schilling Cider House,47.649915057412784,-122.35053974184615,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/schilling-cider-house/54027198498ed729c02ed6c6
Pike Place Market,47.607935885722405,-122.33868905535763,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/pike-place-market/427ea800f964a520b1211fe3
Il Corvo,47.61591742774995,-122.33358859066321,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/il-corvo/4db71ec1a86ed8d46c6e179c
Un Bien,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/un-bien/556b6fd4498e15b7ccf95448
Salumi,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/salumi/4512a41df964a520a2391fe3
Delancey,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/delancey/4a7ce1a4f964a520eded1fe3
Manolin,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/manolin/54812d7a498e70cd7c363389
Stateside,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/stateside/538ea1c9498eecce5c747892
Spinasse,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/spinasse/49e0420af964a5204b611fe3
Maneki Restaurant,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/maneki-restaurant/42055e00f964a5206b1f1fe3
Holy Mountain Brewing Company,47.6307872212215,-122.37480548336693,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/holy-mountain-brewing-company/53cb3d97498eaf7d403ef4f3
RockCreek Seafood & Spirits,47.65935540720077,-122.34966734793232,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/rockcreek-seafood--spirits/51f75b14498e84c493e826bc
Canon,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/canon/4e18cb79d1648b834836786e
Reuben's Brews,47.66544333024067,-122.3736102687191,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/reubens-brews/4f1c60f5e4b04ae084158528
Stoup Brewing,47.66660782315385,-122.37131281786093,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/stoup-brewing/51951469498e4f724104b356
Cloudburst Brewing,47.61150498810596,-122.3451744596312,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/cloudburst-brewing/54f8d7cd498e011cb93ae3c9
Fremont Brewing,47.648886768034146,-122.34432254679308,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/fremont-brewing/40b13b00f964a52081f61ee3
Brouwer's Cafe,47.651633841096704,-122.35429516013578,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/brouwers-cafe/437e6b00f964a520bd2a1fe3
Shiro's Sushi,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/shiros-sushi/429ba900f964a5208d241fe3
Oddfellows Cafe & Bar,47.61497942718161,-122.3195132510565,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/oddfellows-cafe--bar/49bdc223f964a52094541fe3
The Walrus and the Carpenter,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/the-walrus-and-the-carpenter/4c60a06213791b8d151f50af
T-Mobile Park,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/tmobile-park/4b155088f964a520beb023e3
REI,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/rei/412fcb00f964a5202d0d1fe3
Kedai Makan,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/kedai-makan/51020084e4b0fb39a60c00bf
Bar Charlie,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/bar-charlie/585b4d18ac13690a1b5d338e
New Luck Toy,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/new-luck-toy/581157b938fac2d034756a2a
Milstead & Co.,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/milstead--co/4d6037775b276dcb30dd12c6
Victrola Coffee Roasters,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/victrola-coffee-roasters/47440fabf964a520814c1fe3
Outlander Brewery & Pub,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/outlander-brewery--pub/5009f956067dc4c8b165a68b
Tsukushinbo,,,From Foursquare list: Seattle Fish Toss,https://app.foursquare.com/v/tsukushinbo/4a3be500f964a520e2a01fe3
