Name,Latitude,Longitude,Description,Foursquare URL
Mustafa Centre,1.3100276275690057,103.85518274377212,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/mustafa-centre/4b058815f964a520a9b022e3
545 Whampoa Prawn Noodles (Tekka Branch),,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/545-whampoa-prawn-noodles-tekka-branch/52b906cd498e0438b790dcc2
Tian Tian Hainanese Chicken Rice,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/tian-tian-hainanese-chicken-rice-%E5%A4%A9%E5%A4%A9%E6%B5%B7%E5%8D%97%E9%B8%A1%E9%A5%AD/4b8f553df964a520b05133e3
Night Safari,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/night-safari/4b05880ef964a520b7ae22e3
Lau Pa Sat,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/lau-pa-sat/4b13fe99f964a520659b23e3
Maxwell Food Centre,1.2802670344199794,103.84483322112303,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/maxwell-food-centre/4b1f21a6f964a520432424e3
Newton Food Centre,1.3118888149555297,103.83973235150819,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/newton-food-centre/4b1e7356f964a5201f1a24e3
Lei Garden Restaurant,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/lei-garden-restaurant-%E5%88%A9%E8%8B%91%E9%85%92%E5%AE%B6/4b058813f964a5202db022e3
Candlenut,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/candlenut/51ac8480498ea50be4adfc36
Hong Kong Soya Sauce Chicken Rice & Noodle,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/hong-kong-soya-sauce-chicken-rice--noodle/4d60a81714963704a4a5e894
Hill Street Tai Hwa Pork Noodle,1.3051364126831833,103.86239050790687,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/hill-street-tai-hwa-pork-noodle-%E5%90%8A%E6%A1%A5%E5%A4%B4%E5%A4%A7%E5%8D%8E%E7%8C%AA%E8%82%89%E7%B2%BF%E6%9D%A1/4b80b8b3f964a5205a8830e3
BooksActually,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/booksactually/4d54ff2ce7f1a1cde53df5a4
Singapore Botanic Gardens,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/singapore-botanic-gardens/4b3b3bd0f964a520ac7125e3
National Orchid Garden,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/national-orchid-garden/4bd17ec777b29c74eaa48c82
Tiong Bahru Market,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/tiong-bahru-market/4b06afa3f964a520a1ee22e3
Yakiniku YAZAWA,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/yakiniku-yazawa/4ca1e24946978cfa098dbf7f
Cheng Mun Chee Kee Pig Organ Soup,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/cheng-mun-chee-kee-pig-organ-soup-%E6%AD%A3%E6%96%87%E5%BF%97%E8%AE%B0/4b0fb901f964a520586423e3
Druggists,1.3110758244571994,103.85983688872975,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/druggists/54ccdb92498eeb9f4153347e
Ice Cold Beer,1.3017608975132284,103.8390643272848,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/ice-cold-beer/4b05880bf964a52004ae22e3
The Vagabond Club,1.307097396381544,103.85836475753878,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/the-vagabond-club/55e6898b498e7263ef796e45
Tom's Palette,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/toms-palette/4bd811e909ecb7133ffc477c
Tiong Bahru Bakery,1.293523394845504,103.85394279770809,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/tiong-bahru-bakery/4fd44715c2ee7293367efddb
Bincho at Hua Bee,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/bincho-at-hua-bee/526e0131498e7f3130d5a53e
Hanare Japanese Cafe and Restaurant,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/hanare-japanese-cafe-and-restaurant/52f36f2d498e500c7def7dfb
Ah-Tai Hainanese Chicken Rice,1.2802670344199794,103.84483322112303,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/ahtai-hainanese-chicken-rice/4f9e36cae4b0d296c8ccfa4c
Tom Yum Kungfu,,,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/tom-yum-kungfu/4c517cf73940be9afa2dee08
Sungei Road Laksa,1.3068367278645177,103.85756641613017,From Foursquare list: Singapore Eat-in-the-heat,https://app.foursquare.com/v/sungei-road-laksa/4c19e647834e2d7f94102b80
