Name,Latitude,Longitude,Description,Foursquare URL
Aloft Tampa Downtown,27.946790829016216,-82.45998823498093,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/aloft-tampa-downtown/53c44fb6498e665bb7150859
Mr Dunderbak's,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/mr-dunderbaks/4ae62e03f964a52062a521e3
The Mermaid Tavern,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/the-mermaid-tavern/4eab5d0661af01ea2ac5f877
7venth Sun Brewery,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/7venth-sun-brewery/5995128c0881581cb0d22f90
Hampton Station,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/hampton-station/55023708498e1d8335500488
Ella’s Americana Folk Art Cafe,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/ellas-americana-folk-art-cafe/4b05b625f964a52065e122e3
Arco Iris,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/arco-iris/4c111eb7ce640f4738083b52
The Independent Bar and Cafe,27.992098785811567,-82.45950160380757,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/the-independent-bar-and-cafe/4b05b439f964a5204fe122e3
Phò Tampa,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/ph%C3%B2-tampa/5b3a5a013731ee0039ae0b86
Goody Goody Burgers,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/goody-goody-burgers/57bcfcf7498e718a797594c1
Hooch And Hive,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/hooch-and-hive/5aff6d2ce7a23700391ac4e4
Rasoi Indian Cuisine,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/rasoi-indian-cuisine/5a467b8dff0306677f61bbae
The Refinery,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/the-refinery/5ad7e793ca18ea3602219d50
Lolis Mexican Cravings,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/lolis-mexican-cravings/5414d6a1498ea3d31a3cecb6
West Tampa Sandwich Shop,27.973214172112147,-82.4850609758477,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/west-tampa-sandwich-shop/4ba40980f964a520637a38e3
Southern Brewing,27.986162745529647,-82.45150343620692,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/southern-brewing/4f075cdae4b0540ca0fa5ab8
Lee's Grocery,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/lees-grocery/4e9f5744b634562fe45d4171
Ichicoro,27.995024464541245,-82.45936407698639,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/ichicoro/56315453498e0433c87c033e
Buddy Brew Coffee,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/buddy-brew-coffee/4bf158d325afb71350004b6f
Boca Kitchen Bar & Market,27.94168902298311,-82.4691013584219,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/boca-kitchen-bar--market/4f21b204e4b0467cd7ff4dcc
Harry Waugh Dessert Room,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/harry-waugh-dessert-room/4c353ff4ed37a593665a7003
Seasons 52,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/seasons-52/4bcf8be7462cb7135bf7d607
La Casona,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/la-casona/4c0e8516512f76b020f47a11
Total Wine & More,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/total-wine--more/4b089965f964a520310f23e3
Oxford Exchange,27.944869379658726,-82.4645634585919,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/oxford-exchange/506362eee4b05ef2f2a36516
Four Green Fields,27.94173618581368,-82.46165439189191,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/four-green-fields/4b0586c1f964a520b56c22e3
Fresh Kitchen,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/fresh-kitchen/5329f277498ed7108036d308
Angry Chair Brewing,28.005058479324276,-82.45938523497665,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/angry-chair-brewing/545bf2eb498eb011277dff61
Taco Bus,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/taco-bus/4b15875df964a52037ae23e3
Bern's Steak House,,,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/berns-steak-house/4b0586c4f964a5206d6d22e3
SoHo Sushi,27.94452435939321,-82.4968564542959,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/soho-sushi/4be97a5b947820a1360ab6db
Tampa Riverwalk,27.946762688749292,-82.4599935244314,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/tampa-riverwalk/4bcb82c4b6c49c74e4649291
Cigar City Brewing Spruce Street Brewery & Taproom,27.958465916630285,-82.50935820017004,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/cigar-city-brewing-spruce-street-brewery--taproom/4b194b21f964a520b3da23e3
Coppertail Brewing Co.,27.955959679873505,-82.4303345183976,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/coppertail-brewing-co/518d5396498e3007fa0a484f
Datz,27.921914360660857,-82.49342534639565,"From Foursquare list: Tamper, Flor-iduh",https://app.foursquare.com/v/datz/4b0586c7f964a520446e22e3
