Name,Latitude,Longitude,Description,Foursquare URL
Toshi Sushi,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/toshi-sushi/4aa7e160f964a520d14d20e3
Joe Fortes Seafood & Chop House,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/joe-fortes-seafood--chop-house/4ab59f7cf964a520a97520e3
Osteria Savio Volpe,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/osteria-savio-volpe/55fcdcd7498e3e59b7c5dd60
Revolver,49.28312552952072,-123.10941536407339,From Foursquare list: The 'Couv,https://app.foursquare.com/v/revolver/4d9b41359298b1f7635b5338
Chambar,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/chambar/4aa8005bf964a520a24e20e3
Beaucoup Bakery,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/beaucoup-bakery/50d4bd11e4b0b55bb4b657a3
Coal Harbour Seawall,49.290472743854096,-123.12354234339766,From Foursquare list: The 'Couv,https://app.foursquare.com/v/coal-harbour-seawall/4ab03489f964a520706620e3
33 Acres Brewing Company,49.26390611792434,-123.10537199391518,From Foursquare list: The 'Couv,https://app.foursquare.com/v/33-acres-brewing-company/51b201d27dd249ae714ba728
Pourhouse Restaurant,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/pourhouse-restaurant/4abea310f964a520ff8e20e3
Meat & Bread,49.28260856702313,-123.1096062630972,From Foursquare list: The 'Couv,https://app.foursquare.com/v/meat--bread/4cc72e8b01fb236a8d70bbba
Bao Bei,49.27968519243328,-123.10053485306304,From Foursquare list: The 'Couv,https://app.foursquare.com/v/bao-bei/4b513a38f964a5200b4827e3
Granville Island Public Market,49.27258867337367,-123.1352607098261,From Foursquare list: The 'Couv,https://app.foursquare.com/v/granville-island-public-market/4aa7f646f964a5203d4e20e3
Kingyo Izakaya,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/kingyo-izakaya/4aa7455df964a5208e4c20e3
Phnom Penh,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/phnom-penh-restaurant/4aa7fa85f964a520704e20e3
Miku Restaurant,49.28703777686242,-123.1131636803976,From Foursquare list: The 'Couv,https://app.foursquare.com/v/miku-restaurant/4aa7f561f964a520384e20e3
Rogers Arena,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/rogers-arena/4aa6f23df964a520954b20e3
Matchstick Coffee Roasters,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/matchstick-coffee-roasters/4f1995afe4b00583e823ffc4
Le Marché St. George,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/le-march%C3%A9-st-george/4d10e635e236548135997aea
Hokkaido Ramen Santouka,49.29032840811004,-123.13375222980378,From Foursquare list: The 'Couv,https://app.foursquare.com/v/hokkaido-ramen-santouka/4b8c2b7ff964a520fec132e3
Alibi Room,49.284078192307135,-123.10025818080733,From Foursquare list: The 'Couv,https://app.foursquare.com/v/alibi-room/4aa73165f964a5203b4c20e3
Musette Caffè,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/musette-caff%C3%A8/4f500a8ee4b01fd34ea23777
Guu Original Thurlow,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/guu-original-thurlow/4aa805ccf964a520cd4e20e3
Biercraft Tap And Tapas,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/biercraft-tap-and-tapas/4aa80271f964a520af4e20e3
Pho Tan,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/pho-tan/4abfd38af964a5207f9220e3
Timbertrain Coffee Roasters,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/timbertrain-coffee-roasters/52dec1e1498e71f308720349
Sheraton Vancouver Wall Centre,49.28042294695268,-123.12611201827508,From Foursquare list: The 'Couv,https://app.foursquare.com/v/sheraton-vancouver-wall-centre/4aa74282f964a520824c20e3
Kintaro,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/kintaro/4ab14a3af964a520e86820e3
Fritz European Fry House,49.2776085568777,-123.12626216865662,From Foursquare list: The 'Couv,https://app.foursquare.com/v/fritz-european-fry-house/4aa7f689f964a5203e4e20e3
La Belle Patate,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/la-belle-patate/4b1b3a7af964a520dff923e3
Steamworks Brewing Co,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/steamworks-brewing-co/4aa6bc27f964a520df4a20e3
The Cambie,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/the-cambie/4aa72f9af964a5202e4c20e3
Keefer Bar,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/keefer-bar/4b77ba28f964a52064a82ee3
Rodney's Oyster House,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/rodneys-oyster-house/4aa74bb8f964a520a14c20e3
Stepho's Souvlaki Greek Taverna,,,From Foursquare list: The 'Couv,https://app.foursquare.com/v/stephos-souvlaki-greek-taverna/4abc5e72f964a520148720e3
