Name,Latitude,Longitude,Description,Foursquare URL
Nhan's Kitchen,15.878246305924275,108.34503776658238,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/nhans-kitchen/5911b5c6c4df1d4bbb43626a
Phố Xưa,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%91-x%C6%B0a/5030e0d4e4b0c17c82d91bff
Palmarosa Spa,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/palmarosa-spa/4e4f476ea80997aa8a378195
Dingo Deli,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/dingo-deli/4d75d0848d7e236aeaf8ae28
Hoi An Holiday Villa,15.881867158241105,108.34427295017841,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/hoi-an-holiday-villa/553b00f4498e4f8a02b44325
Manzi,21.041331933705674,105.84557434904842,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/manzi/50af931de4b0caa69b8835a2
Bún Chả Đắc Kim,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%C3%BAn-ch%E1%BA%A3-%C4%91%E1%BA%AFc-kim/4def11db887754a6af8a8476
bún ốc giang,21.034765720602177,105.8517785817258,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%C3%BAn-%E1%BB%91c-giang/59d06ec21987ec64e6ec311e
Bia Hải Xồm,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/bia-h%E1%BA%A3i-x%E1%BB%93m/513dc5efe4b09947695b1ec8
Phở 10 Lý Quốc Sư,21.030526939564744,105.84874524806483,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%9F-10-l%C3%BD-qu%E1%BB%91c-s%C6%B0/4d61ae04196ba0939e662856
Bảo Tàng Phụ Nữ Việt Nam (Vietnamese Women's Museum) (Bảo Tàng Phụ Nữ Việt Nam),21.023418359109954,105.85166963315908,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%E1%BA%A3o-t%C3%A0ng-ph%E1%BB%A5-n%E1%BB%AF-vi%E1%BB%87t-nam-vietnamese-womens-museum/4bb02de0f964a520363b3ce3
Joma Bakery Café,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/joma-bakery-caf%C3%A9/4d858cea5ad3a0931e57e8fd
Bánh Cuốn Thanh Vân,21.036189246991878,105.84710531886678,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%C3%A1nh-cu%E1%BB%91n-thanh-v%C3%A2n/4d4e0809fe7fb1f7a24f6342
Bún Chả Hương Liên,21.017908906049342,105.85390595860581,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%C3%BAn-ch%E1%BA%A3-h%C6%B0%C6%A1ng-li%C3%AAn/4de5d2062271f377c29c7739
Chè 16 (Mười Sáu),21.018133171528547,105.85285660255536,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ch%C3%A8-16-m%C6%B0%E1%BB%9Di-s%C3%A1u/4e38b0cdaeb72d06596183f5
Phương Béo - Mỳ Vằn Thắn Sủi Cảo Tôm Tươi,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%C6%B0%C6%A1ng-b%C3%A9o--m%E1%BB%B3-v%E1%BA%B1n-th%E1%BA%AFn-s%E1%BB%A7i-c%E1%BA%A3o-t%C3%B4m-t%C6%B0%C6%A1i/534a7d36498eeee57474a6ab
Golden Holiday Hotel,21.035713754338975,105.84770165508627,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/golden-holiday-hotel/58e602fdfb9d897752a3f32d
Bánh Mì Phượng,15.879882396044385,108.33203033227542,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%C3%A1nh-m%C3%AC-ph%C6%B0%E1%BB%A3ng/4e4f9790b61cf637a4f6d002
Reaching Out,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/reaching-out/5126df08e4b02c37e6b192dd
Madam Khánh - The Bánh Mì Queen,15.880588240995518,108.32791672825398,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/madam-kh%C3%A1nh--the-b%C3%A1nh-m%C3%AC-queen/51b67b8b498e9270692a1655
Morning Glory,15.876159454982766,108.32758068961051,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/morning-glory/4bbc993707809521cd75d991
Rice Drum Restaurant Vietnamese Cuisine and Culinary School,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/rice-drum-restaurant-vietnamese-cuisine-and-culinary-school/52c6d2ac11d2b2eeb07acc47
The Espresso Station,15.880184218892405,108.32825276723719,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/the-espresso-station/55b72261498eef1e09c33b21
Hola Taco!,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/hola-taco/53c4c966498e33af76a35375
Minh Hiên - Quán Chay (Vegetarian),15.882737969984458,108.3271519511449,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/minh-hi%C3%AAn--qu%C3%A1n-chay-vegetarian/4ff42c03e4b03e2956a4be76
Hoi An Market (Chợ Hội An),15.87682778875336,108.33103958637447,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ch%E1%BB%A3-h%E1%BB%99i-an-hoi-an-market/4dabd1611e72c1ab9c126d7f
Cộng Càphê,21.03517322585716,105.85338414693534,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/c%E1%BB%99ng-c%C3%A0ph%C3%AA/555e9b4a498ea0e936c077a7
Cafe Đinh,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/cafe-%C4%91inh/4e9144d361afcfde2a3263a5
Phở Thìn 13 Lò Đúc,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%9F-th%C3%ACn-13-l%C3%B2-%C4%91%C3%BAc/4dd50fadd4c0e6b33e49b6eb
Phở Gia Truyền Bát Đàn,21.033685411789804,105.8464172409865,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%9F-gia-truy%E1%BB%81n-b%C3%A1t-%C4%91%C3%A0n/4e5ef7377d8b67dc8ffbf21f
Pizza 4P's,21.029678691427023,105.8489172694468,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/pizza-4ps/55deae83498e47aabe8a5e77
Phở Hạnh (Nộm Gà Phố Cổ),,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%9F-h%E1%BA%A1nh-n%E1%BB%99m-g%C3%A0-ph%E1%BB%91-c%E1%BB%95/4e5a29ec62e1de72f6fb42e3
Bookworm,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/bookworm/4cc13c051da0a1cdf8e898c6
Phở Cuốn Hưng Bền,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%9F-cu%E1%BB%91n-h%C6%B0ng-b%E1%BB%81n/4da82a4943a12d0c2649cf8e
Duy Trí Café,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/duy-tr%C3%AD-caf%C3%A9/4e43eb70628485fd4c59495c
Bánh đúc miến trộn Lê Ngọc Hân,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/b%C3%A1nh-%C4%91%C3%BAc-mi%E1%BA%BFn-tr%E1%BB%99n-l%C3%AA-ng%E1%BB%8Dc-h%C3%A2n/4e45f420315143b381d3792b
Bia Hơi Corner,21.034639106552852,105.85197927662068,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/bia-h%C6%A1i-corner/4db186690437a93f7f8a596d
Phở Sướng,21.033589450961706,105.8520079473376,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/ph%E1%BB%9F-s%C6%B0%E1%BB%9Bng/4d3e084afb4c5481e839e214
Công Viên Thống Nhất (Reunification Park),,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/c%C3%B4ng-vi%C3%AAn-th%E1%BB%91ng-nh%E1%BA%A5t-reunification-park/4cc6eadc9e0dbfb7a93b729a
Standing Bar,,,From Foursquare list: Việt Nam Hônệy Môôn,https://app.foursquare.com/v/standing-bar/582720e5d506b731bd4f54c8
