Name,Latitude,Longitude,Description,Foursquare URL
Republic Cantina,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/republic-cantina/5d1661b6ab76360023a90f8c
Ivy and Coney,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/ivy-and-coney/51dd8aca498edf67b39a6e87
Maiz64,38.90789922539748,-77.0320430853842,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/maiz64/615cc4eb24e8c546d26efb71
Causa,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/causa/6260a35282796a29d94f375a
Mariscos 1133,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/mariscos-1133/62019ec8bf60467ffaf5fc35
Café Riggs,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/caf%C3%A9-riggs/5e4353c2f3b38d0007cc54ab
Cranes,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/cranes/5e489922850a7a0008147b88
Daikaya,38.89858937198732,-77.0199703412647,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/daikaya/50905502d63e87c2d3448e35
National Museum of Natural History,38.891069669850005,-77.02598718304353,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/smithsonian-national-museum-of-natural-history/4a4a33bff964a52094ab1fe3
Newseum,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/newseum/4a451851f964a520c5a71fe3
ChurchKey,38.90860037975949,-77.03163262061291,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/churchkey/4adf1a1ff964a520957721e3
National Mall,38.891038231694026,-77.02299004595119,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/national-mall/49c2fff9f964a5204d561fe3
National Portrait Gallery,38.897428306714815,-77.02297879951846,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/national-portrait-gallery/49fb25a6f964a520196e1fe3
Duke's Grocery,38.910180804841204,-77.0382786048989,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/dukes-grocery/522a9a0511d2b2f9a85cedb4
Kramerbooks & Afterwords Cafe,38.91103837835677,-77.04407526916852,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/kramerbooks--afterwords-cafe/40b3de00f964a5202b001fe3
Old Ebbitt Grill,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/old-ebbitt-grill/44014894f964a5201d301fe3
Rasika,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/rasika/4a08bf4df964a52013741fe3
Eastern Market,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/eastern-market/445eedc7f964a520fc321fe3
Busboys and Poets,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/busboys-and-poets/44196facf964a52026311fe3
Founding Farmers,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/founding-farmers/4a469855f964a5202aa91fe3
Politics and Prose Bookstore,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/politics-and-prose-bookstore/4b75948af964a520cc152ee3
Maketto,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/maketto/502ce800e4b06888b5b79b44
Thip Khao Restaurant,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/thip-khao-restaurant/545ab26e498ee895b4fce37c
Rose's Luxury,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/roses-luxury/523db723498ed9c5e025a588
Hirshhorn Museum and Sculpture Garden,38.88792639985158,-77.0230237852431,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/hirshhorn-museum-and-sculpture-garden/45c6c2bef964a5205e421fe3
Pearl Dive Oyster Palace,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/pearl-dive-oyster-palace/4d2bc01fec272d439c5d394c
Blue Duck Tavern,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/blue-duck-tavern/46528cd5f964a520ea461fe3
Smithsonian’s National Zoo,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/smithsonians-national-zoo/4a7dcf98f964a520b6ef1fe3
Pho 75,38.89389112181998,-77.07883254533289,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/pho-75/4b12c7d0f964a520048e23e3
National Museum of African American History and Culture,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/national-museum-of-african-american-history-and-culture/4c6199b5edd320a12defaa29
SUNdeVICH,38.90764798931233,-77.02464326020075,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/sundevich/4e299d39315171a3be0f1af5
La Colombe Coffee Roasters,38.90643257017883,-77.02489630120644,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/la-colombe-coffee-roasters/512f9781183f26d8006f53cb
National Gallery of Art - Sculpture Garden,38.88887801212247,-77.02323184400217,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/national-gallery-of-art--sculpture-garden/4478cd66f964a520d1331fe3
Garden District,38.91426992474384,-77.03173945404362,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/garden-district/4d76e7f9aaf68cfa819e8fba
Ben's Chili Bowl,38.91716749695432,-77.02887741007703,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/bens-chili-bowl/41478600f964a520c01c1fe3
Dacha Beer Garden,38.911163697663,-77.02223653264967,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/dacha-beer-garden/5227b7b911d2711d34236465
Bantam King,38.8983778102909,-77.01920556239695,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/bantam-king/575b2c62498e538453bc141f
Galaxy Hut,38.88727504299583,-77.09107924112413,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/galaxy-hut/40b13b00f964a5206df41ee3
El Centro D.F.,38.91467119627101,-77.03178443651252,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/el-centro-df/4d94f61a7cfc1456720922f6
Jaleo,38.896149206513996,-77.02195536976909,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/jaleo/4a6e4e04f964a52074d41fe3
Chicken + Whiskey,38.91407154332006,-77.03207119935867,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/chicken--whiskey/5948422fc62b49552e54e8f9
The Star and Shamrock,38.90023197580145,-76.98681612652524,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/the-star-and-shamrock/4bc90a84b6c49c74fbc48d91
Oyamel,38.89494263052189,-77.02188789058064,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/oyamel/4a667bf9f964a520a4c81fe3
Tiger Fork,38.906521005335,-77.0249244168411,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/tiger-fork/58b2171a26a9534fe59ad605
Black Jack,,,From Foursquare list: Washington DC Foodstuffs,https://app.foursquare.com/v/black-jack/4e742c068998ed82a3dc20eb
